,title,artist,gender,lyricist,composer,arranger,debut_year,generation
6448,주소서,비에이피,남,"방용국    ,    젤로   ","    방용국    ,    김창락   ","    방용국    ,    김창락   ",2012,3
6449,iguessineedu,비에이피,남,"방용국    ,    젤로    ,    박수석    ,    김창락    ,    박은우   ","    박수석    ,    김창락   ",    박수석   ,2012,3
6450,chiquita,비에이피,남,"방용국    ,    Mafly    ,    Keyfly    ,    김창락   ","    Erik Lidbom    ,    Ylva Dimberg   ",    Erik Lidbom   ,2012,3
6451,걸어가,비에이피,남,"로이도    ,    Wonderkid    ,    BreadBeat (TENTEN)    ,    방용국   ","    Wonderkid    ,    로이도    ,    BreadBeat (TENTEN)   ","    Wonderkid    ,    BreadBeat (TENTEN)    ,    로이도   ",2012,3
6452,지금(종업solo),비에이피,남,"종업 (B.A.P)    ,    하주호   ","    종업 (B.A.P)    ,    하주호   ",    박수석   ,2012,3
6453,dowhatifeel,비에이피,남,"박수석    ,    방용국    ,    김창락    ,    슬리피   ","    박수석    ,    방용국    ,    김창락   ","    박수석    ,    김창락   ",2012,3
6454,that`smyjam,비에이피,남,"방용국    ,    김창락    ,    이현상    ,    Justin Park    ,    Nakeisha Boozer    ,    Tanya Boozer   ","    방용국    ,    김창락    ,    Justin Park    ,    Deen    ,    Nakeisha Boozer    ,    Tanya Boozer    ,    Edward Shin   ","    방용국    ,    김창락    ,    Edward Shin    ,    Mister Rocks   ",2012,3
6455,뭐라고할까,비에이피,남,"방용국    ,    김창락   ","    방용국    ,    김창락   ","    방용국    ,    김창락    ,    Devill Cat   ",2012,3
6456,today,비에이피,남,"박수석    ,    박은우   ","    박수석    ,    박은우   ",    박수석   ,2012,3
6457,carnival,비에이피,남,"방용국    ,    김창락    ,    박수석   ","    방용국    ,    김창락    ,    박수석    ,    윤영민   ","    박수석    ,    윤영민   ",2012,3
6458,feelsogood,비에이피,남,"방용국    ,    김창락    ,    Team One Sound   ","    Danny Majic    ,    방용국    ,    김창락    ,    Team One Sound    ,    Artisans Premium Music    ,    Lucas Lee   ","    방용국    ,    김창락   ",2012,3
6459,go,비에이피,남,"스타트랙    ,    방용국   ","    스타트랙    ,    방용국   ",    스타트랙   ,2012,3
6460,albatross,비에이피,남,"방용국    ,    김창락    ,    젤로   ","    방용국    ,    김창락   ","    방용국    ,    김창락   ",2012,3
6461,mygirl,비에이피,남,"방용국    ,    박수석    ,    인우   ",    박수석   ,"    박수석    ,    인우   ",2012,3
6462,takeyouthere,비에이피,남,"B.A.P    ,    김태완    ,    Kevin   ","    Ye-Yo!    ,    김태완    ,    Kevin   ",    Ye-Yo!   ,2012,3
6463,monologue,비에이피,남,"방용국    ,    김창락    ,    젤로   ","    방용국    ,    김창락   ","    방용국    ,    김창락   ",2012,3
6464,"young,wild&free",비에이피,남,"방용국    ,    김창락   ","    방용국    ,    김창락   ","    방용국    ,    김창락   ",2012,3
6465,behappy,비에이피,남,"방용국    ,    김창락    ,    슬리피   ","    방용국    ,    김창락   ","    방용국    ,    김창락   ",2012,3
6466,blind,비에이피,남,"방용국    ,    박수석    ,    인우   ","    박수석    ,    인우   ","    박수석    ,    인우   ",2012,3
6467,어디니?뭐하니?,비에이피,남,"김기범    ,    강지원    ,    방용국   ","    김기범    ,    강지원   ",    박수석   ,2012,3
6468,오늘은꼭,비에이피,남,"김기범    ,    강지원    ,    슬리피   ","    김기범    ,    강지원    ,    박수석   ","    박수석    ,    인우   ",2012,3
6469,b.a.p(intro),비에이피,남,,,,2012,3
6470,1004(angel),비에이피,남,"강지원    ,    김기범    ,    방용국   ","    강지원    ,    김기범   ",    강지원   ,2012,3
6471,쉽죠,비에이피,남,,,,2012,3
6472,spy,비에이피,남,"박수석    ,    인우    ,    방용국   ","    박수석    ,    인우   ","    박수석    ,    인우   ",2012,3
6473,checkon,비에이피,남,"디액션 (D.Action)    ,    방용국    ,    전다운   ","    전다운    ,    디액션 (D.Action)   ","    전다운    ,    디액션 (D.Action)   ",2012,3
6474,shadylady,비에이피,남,"박수석    ,    인우    ,    방용국   ",    박수석   ,    박수석   ,2012,3
6475,lovesick,비에이피,남,"강지원    ,    김기범    ,    방용국    ,    슬리피   ","    강지원    ,    김기범   ",    강지원   ,2012,3
6476,bangx2,비에이피,남,"방용국    ,    전다운   ",    전다운   ,"    안수    ,    전다운   ",2012,3
6477,s.n.s,비에이피,남,"마르코    ,    방용국   ",    마르코   ,    마르코   ,2012,3
6478,body&soul,비에이피,남,"마르코    ,    방용국   ",    마르코   ,    마르코   ,2012,3
6479,saveme,비에이피,남,"박수석    ,    인우    ,    방용국   ",    박수석   ,    박수석   ,2012,3
6480,b.a.b.y,비에이피,남,"마르코    ,    방용국   ",    마르코   ,    마르코   ,2012,3
6481,withyou,비에이피,남,"강지원    ,    김기범    ,    방용국   ","    강지원    ,    김기범   ",    박수석   ,2012,3
6482,whut`spoppin`,비에이피,남,"마르코    ,    방용국   ","    마르코    ,    방용국   ",    마르코   ,2012,3
6483,badman,비에이피,남,"강지원    ,    김기범    ,    방용국   ","    강지원    ,    김기범   ",    강지원   ,2012,3
6484,excuseme,비에이피,남,"박수석    ,    슬리피    ,    방용국   ","    박수석    ,    슬리피   ","    박수석    ,    슬리피   ",2012,3
6485,coffeeshop,비에이피,남,"강지원    ,    김기범    ,    방용국   ","    강지원    ,    김기범   ",    강지원   ,2012,3
6486,bowwow,비에이피,남,"박수석    ,    방용국    ,    인우   ",    박수석   ,    박수석   ,2012,3
6487,hurricane,비에이피,남,"전다운    ,    마르코    ,    방용국   ","    전다운    ,    마르코   ","    전다운    ,    마르코   ",2012,3
6488,punch,비에이피,남,,,,2012,3
6489,oneshot,비에이피,남,,,,2012,3
6490,빗소리,비에이피,남,"강지원    ,    마르코    ,    방용국   ","    강지원    ,    마르코   ",    마르코   ,2012,3
6491,coma,비에이피,남,,,,2012,3
6492,0(zero),비에이피,남,,,,2012,3
6493,yessir,비에이피,남,,,,2012,3
6494,하지마(stopit),비에이피,남,,,,2012,3
6495,happybirthday,비에이피,남,,,,2012,3
6496,대박사건(crash),비에이피,남,"이단옆차기    ,    방용국   ",    이단옆차기   ,    이단옆차기   ,2012,3
6497,iremember(with대현)(방용국solo),비에이피,남,"방용국    ,    Chance    ,    트웰브   ","    방용국    ,    Chance   ",    Chance   ,2012,3
6498,nomercy,비에이피,남,"마르코    ,    전다운    ,    방용국   ","    마르코    ,    전다운   ","    마르코    ,    전다운   ",2012,3
6499,음성메시지,비에이피,남,"마르코    ,    방용국   ","    마르코    ,    방용국   ",    마르코   ,2012,3
6500,dancingintherain,비에이피,남,,,,2012,3
6501,마음이시키는일,비에이피,남,김기범   ,    김기범   ,"    박수석    ,    인우   ",2012,3
6502,goodbye(withmatoki),비에이피,남,"민연재    ,    방용국   ",    전다운   ,    TOP   ,2012,3
6503,power,비에이피,남,,,,2012,3
6504,fightforfreedom,비에이피,남,,,,2012,3
6505,whatthehell,비에이피,남,,,,2012,3
6506,전부거짓말,비에이피,남,,,,2012,3
6507,burnitup(intro),비에이피,남,,,,2012,3
6508,warrior,비에이피,남,"강지원    ,    김기범    ,    방용국   ","    강지원    ,    김기범   ",    강지원   ,2012,3
6509,unbreakable,비에이피,남,,,,2012,3
6510,비밀연애(feat.송지은ofsecret),비에이피,남,,,,2012,3
6511,daybreak(minhyun&jr),뉴이스트,남,"황민현    ,    JR (뉴이스트)    ,    키겐   ","    키겐    ,    최진경   ","    키겐    ,    최진경   ",2012,3
6512,r.l.t.l(reallovetruelove)(onemorning),뉴이스트,남,"백호 (뉴이스트)    ,    황민현    ,    JR (뉴이스트)    ,    BUMZU   ","    BUMZU    ,    박기태   ","    박기태    ,    BUMZU   ",2012,3
6513,thankyou(eveningbyevening),뉴이스트,남,"황민현    ,    BUMZU    ,    조자영   ","    황민현    ,    BUMZU    ,    조자영   ","    황민현    ,    BUMZU    ,    조자영   ",2012,3
6514,look(astarlightnight),뉴이스트,남,"백호 (뉴이스트)    ,    황민현    ,    JR (뉴이스트)    ,    BUMZU   ","    BUMZU    ,    Royal Dive   ","    Royal Dive    ,    220   ",2012,3
6515,나의천국,뉴이스트,남,"BUMZU    ,    JR (뉴이스트)   ","    BUMZU    ,    박기태    ,    이기용    ,    백호 (뉴이스트)   ","    BUMZU    ,    박기태    ,    이기용   ",2012,3
6516,여왕의기사,뉴이스트,남,"BUMZU    ,    JR (뉴이스트)    ,    Maxx Song    ,    김은수    ,    Mafly    ,    Denis Seo   ","    BUMZU    ,    Maxx Song    ,    Bum   ","    BUMZU    ,    Bum   ",2012,3
6517,사실말야,뉴이스트,남,"BUMZU    ,    백호 (뉴이스트)    ,    황민현    ,    JR (뉴이스트)   ","    BUMZU    ,    백호 (뉴이스트)   ",    BUMZU   ,2012,3
6518,티격태격,뉴이스트,남,"BUMZU    ,    GDLO (MonoTree)    ,    JR (뉴이스트)   ","    BUMZU    ,    GDLO (MonoTree)   ",    GDLO (MonoTree)   ,2012,3
6519,onekis2,뉴이스트,남,"이창근    ,    주완 (ZUWAN)    ,    프리미엄프로젝트1   ","    이창근    ,    주완 (ZUWAN)    ,    프리미엄프로젝트1   ","    이창근    ,    주완 (ZUWAN)    ,    프리미엄프로젝트1    ,    프리미엄프로젝트2   ",2012,3
6520,i`mbad,뉴이스트,남,"리시    ,    김헌주   ","    리시    ,    김헌주   ","    리시    ,    김헌주   ",2012,3
6521,나와같은차를마시고(ascenewithoutyou),뉴이스트,남,2S   ,    2S   ,    2S   ,2012,3
6522,judgement,뉴이스트,남,길미   ,"    Fascinating    ,    킵루츠   ","    Fascinating    ,    킵루츠   ",2012,3
6523,bigdeal,뉴이스트,남,길미   ,"    Fascinating    ,    서정진    ,    킵루츠   ","    Fascinating    ,    서정진    ,    킵루츠   ",2012,3
6524,goodbyebye,뉴이스트,남,BUMZU   ,"    김태성    ,    Cha Cha Malone    ,    Casper   ","    김태성    ,    Cha Cha Malone   ",2012,3
6525,사랑없는사랑,뉴이스트,남,"김지향    ,    MELODESIGN    ,    JR (뉴이스트)   ",    MELODESIGN   ,    MELODESIGN   ,2012,3
6526,storybook,뉴이스트,남,김희선   ,"    Dwayne Shippy    ,    Gregory Green    ,    Denzil Remedieos    ,    Ryan S. Jhun   ","    Dwayne Shippy    ,    Gregory Green    ,    Denzil Remedieos    ,    Ryan S. Jhun   ",2012,3
6527,climax,뉴이스트,남,"이기 (오레오)    ,    서용배 (TENTEN)    ,    JR (뉴이스트)   ","    이기 (오레오)    ,    서용배 (TENTEN)   ","    이기 (오레오)    ,    서용배 (TENTEN)   ",2012,3
6528,어깨빌려줘(feat.계범주),뉴이스트,남,"CliMXX    ,    JR (뉴이스트)    ,    Aron (뉴이스트)   ",    CliMXX   ,    CliMXX   ,2012,3
6529,action,뉴이스트,남,"장지원    ,    BILL STAX (빌스택스)   ","    이기 (오레오)    ,    서용배 (TENTEN)   ","    이기 (오레오)    ,    서용배 (TENTEN)   ",2012,3
6530,여보세요,뉴이스트,남,손주영   ,"    손주영    ,    현재욱    ,    김태훈    ,    시우   ","    현재욱    ,    김태훈    ,    G-Slow   ",2012,3
6531,잠꼬대,뉴이스트,남,"이단옆차기    ,    David Kim   ",    이단옆차기   ,    이단옆차기   ,2012,3
6532,beautifulghost,뉴이스트,남,,,,2012,3
6533,예뻐(feat.유아라of헬로비너스),뉴이스트,남,"이기 (오레오)    ,    서용배 (TENTEN)    ,    JR (뉴이스트)   ","    이기 (오레오)    ,    서용배 (TENTEN)   ","    이기 (오레오)    ,    서용배 (TENTEN)   ",2012,3
6534,finegirl,뉴이스트,남,한준   ,    이유진   ,    이유진   ,2012,3
6535,조금더사랑할게,뉴이스트,남,문기환   ,    문기환   ,    문기환   ,2012,3
6536,야하게입지마,뉴이스트,남,"이기 (오레오)    ,    서용배 (TENTEN)    ,    JR (뉴이스트)   ","    이기 (오레오)    ,    서용배 (TENTEN)   ","    이기 (오레오)    ,    서용배 (TENTEN)   ",2012,3
6537,hellohello,뉴이스트,남,한준   ,    이유진   ,    이유진   ,2012,3
6538,너네누나소개시켜줘,뉴이스트,남,지용이와 범주   ,    지용이와 범주   ,    지용이와 범주   ,2012,3
6539,조금만(feat.윤한(poppianist)),뉴이스트,남,한준   ,    이유진   ,    이유진   ,2012,3
6540,beautifulsolo,뉴이스트,남,C-no   ,"    이기 (오레오)    ,    서용배 (TENTEN)   ","    이기 (오레오)    ,    서용배 (TENTEN)   ",2012,3
6541,흰눈사이로하이힐타고,뉴이스트,남,,,,2012,3
6542,notoveryou,뉴이스트,남,Brian Kim   ,"    서재하    ,    이유진   ","    서재하    ,    이유진   ",2012,3
6543,sandy,뉴이스트,남,장지원   ,"    MUSOH    ,    Samuel Waermo   ",    이유진   ,2012,3
6544,생일축하해요,뉴이스트,남,정연승   ,    정연승   ,    정연승   ,2012,3
6545,"nu,establish,style,tempo",뉴이스트,남,,,,2012,3
6546,face,뉴이스트,남,장지원   ,    Daniel Barkman   ,    이유진   ,2012,3
6547,i`msorry,뉴이스트,남,김민혁   ,    김민혁   ,    김민혁   ,2012,3
6548,thefeeling,비투비,남,"정일훈    ,    이민혁    ,    프니엘   ","    정일훈    ,    VINCENZO    ,    Any Masingga    ,    Fuxxy   ","    VINCENZO    ,    Any Masingga   ",2013,3
6549,callme,비투비,남,"정일훈    ,    일 (IL)    ,    이민혁    ,    프니엘   ","    정일훈    ,    일 (IL)   ","    일 (IL)    ,    정일훈   ",2013,3
6550,너없인안된다,비투비,남,"임현식    ,    이든 (EDEN)    ,    이민혁    ,    프니엘    ,    정일훈   ","    임현식    ,    이든 (EDEN)   ","    임현식    ,    이든 (EDEN)   ",2013,3
6551,yeah,비투비,남,"정일훈    ,    이민혁    ,    프니엘   ","    정일훈    ,    Fuxxy    ,    VINCENZO    ,    Any Masingga   ",    Fuxxy   ,2013,3
6552,bluemoon,비투비,남,"이민혁    ,    프니엘    ,    정일훈   ","    이민혁    ,    양승욱    ,    윤국형   ","    양승욱    ,    윤국형   ",2013,3
6553,upgrade,비투비,남,정일훈   ,"    정일훈    ,    VINCENZO    ,    Any Masingga    ,    Fuxxy   ","    VINCENZO    ,    Any Masingga   ",2013,3
6554,young&one,비투비,남,"서재우 (TENTEN)    ,    서용배 (TENTEN)    ,    BreadBeat (TENTEN)    ,    현아    ,    이민혁    ,    프니엘    ,    장예은    ,    권은빈    ,    이던    ,    유토    ,    우석 (펜타곤)    ,    소연   ","    서재우 (TENTEN)    ,    서용배 (TENTEN)    ,    BreadBeat (TENTEN)   ","    서재우 (TENTEN)    ,    서용배 (TENTEN)    ,    BreadBeat (TENTEN)   ",2013,3
6555,감기,비투비,남,이기찬   ,    이기찬   ,"    ZeroZine (MosPick)    ,    강동하   ",2013,3
6556,그리워하다,비투비,남,"임현식    ,    이든 (EDEN)    ,    이민혁    ,    프니엘    ,    정일훈   ","    임현식    ,    이든 (EDEN)   ","    임현식    ,    이든 (EDEN)   ",2013,3
6557,mylady,비투비,남,"정일훈    ,    일 (IL)    ,    이민혁    ,    프니엘   ","    정일훈    ,    일 (IL)   ","    일 (IL)    ,    정일훈   ",2013,3
6558,새빨간거짓말,비투비,남,"서재우 (TENTEN)    ,    Ferdy (MosPick)    ,    임현식    ,    이민혁    ,    프니엘    ,    정일훈   ","    서재우 (TENTEN)    ,    Ferdy (MosPick)    ,    임현식   ","    서재우 (TENTEN)    ,    Ferdy (MosPick)   ",2013,3
6559,신바람,비투비,남,"서재우 (TENTEN)    ,    임현식    ,    정일훈    ,    이민혁    ,    프니엘   ","    서재우 (TENTEN)    ,    임현식    ,    정일훈   ",    서재우 (TENTEN)   ,2013,3
6560,나나나,비투비,남,"빅싼초 (Yummy Tone)    ,    조성호    ,    이민혁    ,    프니엘    ,    정일훈   ","    빅싼초 (Yummy Tone)    ,    조성호   ","    빅싼초 (Yummy Tone)    ,    조성호   ",2013,3
6561,꿈에,비투비,남,"ZeroZine (MosPick)    ,    조성호    ,    정일훈    ,    이민혁    ,    프니엘   ","    ZeroZine (MosPick)    ,    조성호   ","    ZeroZine (MosPick)    ,    조성호   ",2013,3
6562,guitar(strokeoflove),비투비,남,"이민혁    ,    프니엘    ,    정일훈   ","    이민혁    ,    양승욱    ,    DJ Ain   ","    양승욱    ,    DJ Ain   ",2013,3
6563,이별을만나다,비투비,남,"ZeroZine (MosPick)    ,    조성호    ,    정일훈    ,    이민혁    ,    프니엘   ","    ZeroZine (MosPick)    ,    조성호    ,    임현식   ","    ZeroZine (MosPick)    ,    조성호   ",2013,3
6564,flyaway,비투비,남,"정일훈    ,    일 (IL)    ,    이민혁    ,    프니엘   ","    정일훈    ,    일 (IL)   ","    일 (IL)    ,    정일훈   ",2013,3
6565,finale:우리들의콘서트,비투비,남,"조성호    ,    Ferdy (MosPick)    ,    이민혁    ,    프니엘    ,    정일훈   ","    조성호    ,    Ferdy (MosPick)   ","    조성호    ,    Ferdy (MosPick)   ",2013,3
6566,언젠가(someday),비투비,남,"임현식    ,    이민혁    ,    프니엘    ,    정일훈   ",    임현식   ,"    임현식    ,    ZeroZine (MosPick)   ",2013,3
6567,말만해,비투비,남,"임현식    ,    이민혁    ,    프니엘    ,    정일훈    ,    이든 (EDEN)   ","    임현식    ,    이든 (EDEN)   ","    임현식    ,    이든 (EDEN)   ",2013,3
6568,movie,비투비,남,"정일훈    ,    일 (IL)    ,    이민혁    ,    프니엘   ","    정일훈    ,    일 (IL)   ","    일 (IL)    ,    정일훈   ",2013,3
6569,abouttime,비투비,남,"이민혁    ,    정일훈   ","    이민혁    ,    Wynn    ,    Jerry.L   ","    이민혁    ,    Wynn    ,    Jerry.L   ",2013,3
6570,빨리뛰어(rocknhiphop),비투비,남,"서재우 (TENTEN)    ,    강동하    ,    이민혁    ,    프니엘    ,    정일훈   ","    서재우 (TENTEN)    ,    강동하    ,    Devine Channel   ","    서재우 (TENTEN)    ,    강동하   ",2013,3
6571,specialchristmas,비투비,남,"홍승성    ,    빅싼초 (Yummy Tone)    ,    조성호    ,    강동하    ,    현아    ,    이민혁    ,    프니엘    ,    정일훈    ,    장예은    ,    이던    ,    유토    ,    우석 (펜타곤)   ","    빅싼초 (Yummy Tone)    ,    조성호    ,    강동하   ","    빅싼초 (Yummy Tone)    ,    조성호    ,    강동하   ",2013,3
6572,목소리,비투비,남,"서의범    ,    조성천    ,    BPM    ,    이민혁    ,    프니엘    ,    정일훈   ","    서의범    ,    황성범    ,    BPM   ","    서의범    ,    황성범    ,    BPM   ",2013,3
6573,newmen,비투비,남,임현식   ,    임현식   ,    임현식   ,2013,3
6574,기도(i`llbeyourman),비투비,남,"임현식    ,    이민혁    ,    프니엘    ,    정일훈   ","    임현식    ,    이든 (EDEN)    ,    네이슨 (NATHAN)   ","    임현식    ,    이든 (EDEN)    ,    네이슨 (NATHAN)   ",2013,3
6575,취해,비투비,남,"정일훈    ,    일 (IL)   ","    정일훈    ,    일 (IL)   ","    정일훈    ,    일 (IL)   ",2013,3
6576,무료해(콕tome),비투비,남,"ZeroZine (MosPick)    ,    조성호    ,    강동하    ,    정일훈    ,    이민혁    ,    프니엘   ","    ZeroZine (MosPick)    ,    조성호    ,    강동하   ","    ZeroZine (MosPick)    ,    조성호    ,    강동하   ",2013,3
6577,yesiam,비투비,남,"조성호    ,    Ferdy (MosPick)    ,    이민혁    ,    프니엘    ,    정일훈   ","    조성호    ,    Ferdy (MosPick)   ","    조성호    ,    Ferdy (MosPick)   ",2013,3
6578,놀러와,비투비,남,"정일훈    ,    일 (IL)    ,    이민혁    ,    프니엘   ","    정일훈    ,    일 (IL)    ,    BLACK   ","    정일훈    ,    일 (IL)   ",2013,3
6579,예지앞사,비투비,남,"서은광    ,    이민혁    ,    이창섭    ,    임현식    ,    프니엘    ,    정일훈    ,    육성재   ","    KAIROS    ,    Jesper Borgen   ","    KAIROS    ,    Wes Koz   ",2013,3
6580,foryou,비투비,남,"김진아    ,    정일훈    ,    이민혁   ",    오준성   ,"    오준성    ,    오승은   ",2013,3
6581,여행가고싶어,비투비,남,"Jerry.L    ,    SWEETCH   ","    Jerry.L    ,    SWEETCH   ","    Jerry.L    ,    SWEETCH   ",2013,3
6582,killingme,비투비,남,"임현식    ,    이창섭   ","    임현식    ,    Simon Hassle    ,    Benjamin Beard   ","    임현식    ,    Simon Hassle    ,    Benjamin Beard   ",2013,3
6583,그려본다(내가그린그림),비투비,남,77어린이   ,"    BreadBeat (TENTEN)    ,    신효    ,    Wonderkid   ","    BreadBeat (TENTEN)    ,    신효    ,    Wonderkid   ",2013,3
6584,봄날의기억,비투비,남,"조성호    ,    Ferdy (MosPick)   ","    조성호    ,    Ferdy (MosPick)   ","    조성호    ,    Ferdy (MosPick)   ",2013,3
6585,anymore,비투비,남,임현식   ,"    서재우 (TENTEN)    ,    Lee Brian D   ","    서재우 (TENTEN)    ,    Lee Brian D   ",2013,3
6586,sopretty,비투비,남,"서재우 (TENTEN)    ,    서용배 (TENTEN)    ,    정일훈   ","    서재우 (TENTEN)    ,    서용배 (TENTEN)   ","    서재우 (TENTEN)    ,    서용배 (TENTEN)   ",2013,3
6587,너같아서,비투비,남,"전다운    ,    빅싼초 (Yummy Tone)   ","    전다운    ,    빅싼초 (Yummy Tone)   ","    전다운    ,    빅싼초 (Yummy Tone)   ",2013,3
6588,자리비움,비투비,남,"정일훈    ,    일 (IL)   ","    정일훈    ,    일 (IL)   ","    정일훈    ,    일 (IL)   ",2013,3
6589,이리와,비투비,남,"OK GO!    ,    정일훈    ,    이민혁    ,    프니엘   ",    OK GO!   ,    OK GO!   ,2013,3
6590,goodbyesadness,비투비,남,"김유경    ,    정일훈   ",    오준성   ,"    오준성    ,    김희원   ",2013,3
6591,lastday,비투비,남,"이창섭    ,    서재우 (TENTEN)   ","    서재우 (TENTEN)    ,    Jussifer    ,    Davion Farris Of The Pensouls    ,    Joe J. Lee (Kairos)   ",    서재우 (TENTEN)   ,2013,3
6592,집으로가는길,비투비,남,"ZeroZine (MosPick)    ,    조성호   ","    ZeroZine (MosPick)    ,    조성호   ","    ZeroZine (MosPick)    ,    조성호   ",2013,3
6593,심장어택,비투비,남,"서재우 (TENTEN)    ,    서용배 (TENTEN)    ,    이민혁    ,    정일훈    ,    프니엘   ","    서재우 (TENTEN)    ,    서용배 (TENTEN)   ",    서재우 (TENTEN)   ,2013,3
6594,나빼고다늑대,비투비,남,"정일훈    ,    서재우 (TENTEN)    ,    이민혁   ","    서재우 (TENTEN)    ,    정일훈   ",    서재우 (TENTEN)   ,2013,3
6595,complete(intro),비투비,남,e.one   ,    e.one   ,    e.one   ,2013,3
