,title,artist,gender,lyricist,composer,arranger,debut_year,generation
2420,제발,비오케이,남,,,,2016,3
2421,오늘뭐먹지,비오케이,남,SU4MAN   ,"    SU4MAN    ,    리누   ",    SU4MAN   ,2016,3
2422,바람이분다,비오케이,남,SU4MAN   ,    SU4MAN   ,    SU4MAN   ,2016,3
2423,떠나지마,비오케이,남,아폴론   ,    아폴론   ,    아폴론   ,2016,3
2424,11시11분,비오케이,남,강우경   ,    최병창   ,"    최병창    ,    강우경   ",2016,3
2425,기분좋은날,비오케이,남,SU4MAN   ,    SU4MAN   ,    SU4MAN   ,2016,3
6419,dangergirl,씨리얼,여,"최갑원    ,    주완 (ZUWAN)   ",    주완 (ZUWAN)   ,    주완 (ZUWAN)   ,2012,3
6420,두근닥두근닥,씨리얼,여,"이창희    ,    김준범    ,    이건영   ","    이창희    ,    김준범    ,    이건영   ","    이창희    ,    김준범    ,    이건영   ",2012,3
6421,sorrybuti,씨리얼,여,최갑원   ,"    김세진    ,    서정진   ","    김세진    ,    서정진   ",2012,3
6422,lovediary,씨리얼,여,최갑원   ,"    PJ    ,    Saad   ","    PJ    ,    Saad   ",2012,3
6423,jomajoma,씨리얼,여,최갑원   ,"    PJ    ,    한상원   ","    PJ    ,    한상원   ",2012,3
6424,좋아해?사랑해?,씨리얼,여,"최갑원    ,    17HOLIC   ",    김진훈   ,    김진훈   ,2012,3
6425,맘에든다고,씨리얼,여,최갑원   ,"    김용현    ,    김진훈   ","    김용현    ,    김진훈   ",2012,3
6426,나쁜애처럼,씨리얼,여,최갑원   ,"    최갑원    ,    김진훈    ,    전군   ","    김진훈    ,    전군   ",2012,3
6427,말론,씨리얼,여,성환   ,    성환   ,    박민철   ,2012,3
6428,nonononono,씨리얼,여,,,,2012,3
6429,c-realintro,씨리얼,여,,,,2012,3
6430,nothanku,씨리얼,여,최갑원   ,"    김도훈 (RBW)    ,    PJ   ",    PJ   ,2012,3
6431,그러지좀마,씨리얼,여,,,,2012,3
6432,뭐야뭐야,씨리얼,여,"Hj    ,    휘성 (Realslow)   ","    Welldone    ,    주완 (ZUWAN)    ,    이채규   ","    Hj    ,    주완 (ZUWAN)    ,    이채규   ",2012,3
6433,내남자친구에겐,씨리얼,여,,,,2012,3
6434,handsup,비에이피,남,"방용국    ,    젤로    ,    JQ    ,    배성현    ,    홍승현 (makeumineworks)   ","    Andy Love    ,    David Amber   ",    David Amber   ,2012,3
6435,moondance,비에이피,남,"방용국    ,    김혜정    ,    JQ   ","    Alexander Karlsson    ,    Alexej Viktorovitch    ,    Cazzi Opeia   ","    Alexander Karlsson    ,    Alexej Viktorovitch   ",2012,3
6436,thinkhole,비에이피,남,"방용국    ,    장여진    ,    조미양    ,    김윤민    ,    민연재    ,    1월 8일   ","    Mich Hansen    ,    Peter Wallevik    ,    Daniel Davidsen    ,    TEBEY OTTOH    ,    Allie X   ","    Mich Hansen    ,    Peter Wallevik    ,    Daniel Davidsen   ",2012,3
6437,honeymoon,비에이피,남,"방용국    ,    젤로    ,    장다인    ,    오예진   ","    Cutfather    ,    Peter Wallevik    ,    Daniel Davidsen    ,    Chelcee Grimes    ,    Camille Purcell    ,    Secret Weapon    ,    주찬양 (티맥스)   ","    Cutfather    ,    Peter Wallevik    ,    Daniel Davidsen    ,    Chelcee Grimes    ,    Camille Purcell    ,    Secret Weapon    ,    주찬양 (티맥스)   ",2012,3
6438,allthewayup,비에이피,남,"방용국    ,    젤로    ,    JQ    ,    김혜정   ","    David Anthony    ,    Mick Lee   ",    David Anthony   ,2012,3
6439,rewind,비에이피,남,"방용국    ,    젤로    ,    Dear.D    ,    장여진   ","    Davey Nate    ,    Kyle Buckley    ,    Guru Doug    ,    K.Chozen   ",    K.Chozen   ,2012,3
6440,dystopia,비에이피,남,"JQ    ,    강은유    ,    솔희    ,    방용국   ","    Steven Lee    ,    Jimmy Richard    ,    Sean Alexander    ,    Sammy Naja   ","    Steven Lee    ,    Sean Alexander    ,    Sammy Naja   ",2012,3
6441,wakemeup,비에이피,남,"젤로    ,    방용국    ,    Mafly    ,    Keyfly   ","    Gabriel Brandes    ,    David Fremberg    ,    Secret Weapon   ","    David Fremberg    ,    Secret Weapon   ",2012,3
6442,diamond4ya,비에이피,남,"방용국    ,    융희   ","    진바이진    ,    Aaron Benward   ",    진바이진   ,2012,3
6443,beautifulworld,비에이피,남,,,,2012,3
6444,skydive,비에이피,남,"방용국    ,    Mafly    ,    Ponde    ,    Rjanah    ,    Dear.D   ","    진바이진    ,    Tim Hawes    ,    Obi Mhondera   ",    진바이진   ,2012,3
6445,ribboninthesky,비에이피,남,"방용국    ,    김창락   ","    방용국    ,    김창락   ","    방용국    ,    김창락   ",2012,3
6446,killer,비에이피,남,"방용국    ,    김태완   ","    Ye-Yo!    ,    김태완   ",    Ye-Yo!   ,2012,3
6447,fermata,비에이피,남,"방용국    ,    김창락    ,    한경수    ,    김서정   ","    방용국    ,    김창락   ","    방용국    ,    김창락    ,    Devil Cat   ",2012,3
