,title,artist,gender,lyricist,composer,arranger,debut_year,generation
2931,평행선(loveline),동방신기,남,"김민지 (Jam Factory)    ,    ZNEE   ","    Jake Torrey    ,    Noah Conrad    ,    Khristian Araneda   ","    Jake Torrey    ,    Noah Conrad   ",2004,2
2932,운명(thechanceoflove),동방신기,남,유영진   ,"    Jihad Rahmouni    ,    유영진    ,    Lorenzo Fragola    ,    Haris   ","    Jihad Rahmouni    ,    Lorenzo Fragola    ,    Haris    ,    유영진   ",2004,2
2933,다지나간다...(broken),동방신기,남,조윤경   ,"    Jin Suk Choi    ,    Nermin Harambasic    ,    Jakob `Jay` Mihoubi    ,    Rudi `Rudy` Daouk   ",    Jin Suk Choi   ,2004,2
2934,onlyforyou,동방신기,남,"이희주    ,    이스란   ","    Delly Boi    ,    Davey Nate    ,    Jass Reyes   ",    Delly Boi   ,2004,2
2935,퍼즐(puzzle)(sungbyu-know),동방신기,남,정잔듸 (Jam Factory)   ,"    LDN Noise    ,    Adrian Mckinnon    ,    Tay Jasper   ",    LDN Noise   ,2004,2
2936,closer(sungbymax),동방신기,남,"황지원 (Jam Factory)    ,    봉은영   ","    Jihad Rahmouni    ,    Duncan de Moor   ","    Jihad Rahmouni    ,    Duncan de Moor   ",2004,2
2937,bounce,동방신기,남,"이스란    ,    Le`mon   ","    Kyle MacKenzie    ,    Keir MacCulloch    ,    Hannah Wilson    ,    Aston Merrygold    ,    유영진   ",    COMMANDS   ,2004,2
2938,wakemeup,동방신기,남,Realmeee   ,"    Coach & Sendo    ,    앤드류 최   ",    Coach & Sendo   ,2004,2
2939,게으름뱅이(lazybones),동방신기,남,박창현   ,    박창현   ,    박창현   ,2004,2
2940,새벽공기(withoutyou),동방신기,남,이스란   ,"    Marcus Lindberg    ,    Hjalmar Wilen    ,    Yoko Hiramatsu   ","    Marcus Lindberg    ,    Hjalmar Wilen    ,    Yoko Hiramatsu   ",2004,2
2941,sun&rain,동방신기,남,"JQ    ,    이지혜    ,    최강창민 (MAX)   ","    Matthew Tishler    ,    Aaron Benward    ,    Felicia Barton    ,    윤건   ",    Matthew Tishler   ,2004,2
2942,샴페인(champagne)(sungbyu-know),동방신기,남,"백금민 (Jam Factory)    ,    이수정(Jam Factory)    ,    Mafly   ","    August Rigo    ,    Peter Tambakis    ,    Ryan S. Jhun   ","    August Rigo    ,    Peter Tambakis    ,    Ryan S. Jhun   ",2004,2
2943,riseasone(sungbymax),동방신기,남,kenzie   ,"    Toby Gad    ,    Arty    ,    Josh Cumbee    ,    AFSHeeN    ,    Jessica Sanchez    ,    Nolan Sipe   ","    Toby Gad    ,    Josh Cumbee    ,    AFSHeeN    ,    Flash Finger (플래시핑거)    ,    KooKing    ,    VACK   ",2004,2
2944,smile(웨딩드레스),동방신기,남,조윤경   ,"    Teddy Riley    ,    이현승    ,    DOM    ,    Daniel Obi Klein    ,    J.SOL (Jason J Lopez)   ","    Teddy Riley    ,    이현승    ,    DOM    ,    Daniel Obi Klein    ,    J.SOL (Jason J Lopez)   ",2004,2
2945,너는내꺼(topoftheworld),동방신기,남,"유영진    ,    Ryan Yoo   ",    유영진   ,    유영진   ,2004,2
2946,apology(sungbymax),동방신기,남,김민지 (Jam Factory)   ,"    Harvey Mason Jr.    ,    Dewain Whitmore    ,    디즈   ","    Harvey Mason Jr.    ,    Dewain Whitmore    ,    디즈   ",2004,2
2947,komplikated(sungbyu-know),동방신기,남,"황지원 (Jam Factory)    ,    신진혜   ","    Tay Jasper    ,    LDN Noise   ","    Tay Jasper    ,    LDN Noise   ",2004,2
2948,dominus,동방신기,남,"이주형 (MonoTree)    ,    김유석   ","    이주형 (MonoTree)    ,    김유석   ","    이주형 (MonoTree)    ,    김유석   ",2004,2
2949,luckystar,동방신기,남,김부민   ,    Hitchhiker   ,    Hitchhiker   ,2004,2
2950,getaway,동방신기,남,김부민   ,    Hitchhiker   ,    Hitchhiker   ,2004,2
2951,`o`-正.反.合.(rearranged),동방신기,남,유영진   ,    유영진   ,    유영진   ,2004,2
2952,비누처럼(likeasoap),동방신기,남,kenzie   ,"    kenzie    ,    김정배   ",    kenzie   ,2004,2
2953,howareyou,동방신기,남,황현 (MonoTree)   ,    황현 (MonoTree)   ,    황현 (MonoTree)   ,2004,2
2954,humanoids,동방신기,남,"이경남    ,    이솔비    ,    kenzie   ","    Thomas Troelsen    ,    Donald `haZEL` Sales   ","    Thomas Troelsen    ,    Donald `haZEL` Sales   ",2004,2
2955,이것만은알고가(beforeugo),동방신기,남,유영진   ,"    유영진    ,    유한진   ",    유한진   ,2004,2
2956,destiny,동방신기,남,김이나   ,"    김태성    ,    임광욱    ,    앤드류 최   ","    김태성    ,    임광욱   ",2004,2
2957,hereistand,동방신기,남,유영진   ,    유영진   ,    유영진   ,2004,2
2958,꿈(dream),동방신기,남,조광호   ,    박정원   ,"    황찬희    ,    양시온   ",2004,2
2959,catchme,동방신기,남,유영진   ,    유영진   ,    유영진   ,2004,2
2960,바보(unforgettable),동방신기,남,권윤정   ,    황성제   ,    황성제   ,2004,2
2961,주문-mirotic,동방신기,남,유영진   ,"    Mikkel Remee Sigvardt    ,    Lucas Secon    ,    Thomas Troelsen   ",    유영진   ,2004,2
2962,수리수리(spellbound),동방신기,남,유영진   ,    유영진   ,    유영진   ,2004,2
2963,ten(10years),동방신기,남,유영진   ,    유영진   ,    유영진   ,2004,2
2964,something,동방신기,남,유영진   ,"    유영진    ,    유한진   ",    유한진   ,2004,2
2965,너의남자(yourman),동방신기,남,kenzie   ,"    kenzie    ,    김정배   ",    kenzie   ,2004,2
2966,오늘밤(moonlightfantasy),동방신기,남,전간디   ,"    Coach & Sendo    ,    Alexander Holmgren   ","    Coach & Sendo    ,    Alexander Holmgren   ",2004,2
2967,그대신내가(beside),동방신기,남,JQ   ,"    Albi Albertsson    ,    Ricky Hanley    ,    Stephan Elfgren   ",    Mussashi   ,2004,2
2968,doubletrouble,동방신기,남,김부민   ,    Hitchhiker   ,    Hitchhiker   ,2004,2
2969,off-road,동방신기,남,서지음   ,"    Peter Habib    ,    Marc Joseph    ,    Adam Nierow    ,    Yaroslav Vynnytsky   ","    Mr. Fantastic    ,    Mysto & Pizzi   ",2004,2
2970,heaven`sday,동방신기,남,최강창민 (MAX)   ,"    신혁    ,    DK    ,    Sean Fenton    ,    RE:ONE   ",    RE:ONE   ,2004,2
