artist,artist_m,gender,idol_id,agency_old,agency_new,debut_y,debut_t,fan
지디 앤 태양,"G-DRAGON, 태양",남,790881,,YG,,,29603
인피니트F,"엘 (인피니트), 이성열 (인피니트), 이성종 (인피니트)",남,789608,,울림,2014,가슴이 뛴다,26199
칠학년일반,"백세희, 강민주, 신이랑, 고은실, 권소정, 유화, 한빛나",여,753271,,다른별,2014,오빠 바이러스,1035
윙스,"나영, 예슬",여,760801,,소니뮤직,2014,Hair Short (헤어숏),417
레드벨벳,"웬디 (WENDY), 아이린 (IRENE), 슬기 (SEULGI), 조이 (JOY), 예리 (YERI)",여,780066,,SM,2014,행복 (Happiness),224402
스피카.S,,여,785143,B2M,CJE&M,2014,남주긴 아까워?,810
레인보우 블랙,"김재경, 현영 (레인보우), 오승아, 고우리",여,750398,,DSP미디어,2014,Cha Cha,1018
베리굿,"태하, 고운, 서율, 다예, 세형, 조현",여,773603,,아시아브릿지,,,2509
단발머리,"다혜, 단비, 지나, 유정",여,774914,,크롬,2014,No Way,716
마마무,"솔라 (마마무), 문별 (마마무), 휘인 (마마무), 화사 (마마무)",여,750053,,RBW,2014,Mr.애매모호,190765
에이코어,"케미 (Kemy), 민주, 지영, 태희, 다야",여,778135,,두리퍼블릭,2014,Payday,417
라붐,"솔빈 (LABOUM), 소연 (LABOUM), ZN (LABOUM), 해인 (LABOUM), 유정 (LABOUM)",여,783462,내가네트워크,NH미디어,2014,두근두근,9319
드림캐쳐,"지유, 한동, 시연, 가현, 수아, 유현, 다미",여,1284664,,해피페이스,,,8266
딸기우유,"초아 (크레용팝), 웨이 (크레용팝)",여,787080,,크롬,,,1317
러블리즈,"유지애, 베이비소울 (러블리즈), JIN, Kei (러블리즈), 정예인, 이미주, 서지수, 류수정 (러블리즈)",여,789331,,울림,2014,Candy Jelly Love,47006
워너비,"세진, 은솜, 아미, 린아, 로은",여,790377,,제니스미디어콘텐츠,2014,My Type,711
소나무,"NEW SUN(뉴썬), High.D (하이디), 의진, D.ana(디애나), 나현, 민재, 수민",여,792822,,TS,2014,Deja Vu,5647
블락비 바스타즈,"P.O (블락비), 유권 (블락비), 비범 (블락비)",남,858846,,세븐시즌스,,,30946
로미오,"강민, 마일로, 민성, 승환, 윤성, 카일, 현경",남,860516,,CT,2015,,1534
몬스타엑스,"주헌 (몬스타엑스), 셔누 (몬스타엑스), 기현 (몬스타엑스), 형원 (몬스타엑스), 민혁 (몬스타엑스), 원호 (몬스타엑스), I.M (몬스타엑스)",남,791216,,스타쉽,,,43707
엔플라잉,"이승협 (J.DON), 권광진, 차훈, 김재현, 유회승 (N.Flying)",남,861430,,FNC,2015,기가 막혀 (Awesome),4416
