,artist,member_num,gender,idol_id,agency_old,agency_new,artist_m,debut_y,debut_t,fan
233,베리굿,5,여,773603,,아시아브릿지,"다혜, 단비, 지나, 유정",2014.0,,2509
234,단발머리,4,여,774914,,크롬,"솔라 (마마무), 문별 (마마무), 휘인 (마마무), 화사 (마마무)",2014.0,No Way,716
235,마마무,4,여,750053,,RBW,"케미 (Kemy), 민주, 지영, 태희, 다야",2014.0,Mr.애매모호,190765
236,에이코어,5,여,778135,,두리퍼블릭,"솔빈 (LABOUM), 소연 (LABOUM), ZN (LABOUM), 해인 (LABOUM), 유정 (LABOUM)",2014.0,Payday,417
237,라붐,5 (6),여,783462,내가네트워크,NH미디어,"지유, 한동, 시연, 가현, 수아, 유현, 다미",2014.0,두근두근,9319
238,드림캐쳐,7 (5),여,1284664,,해피페이스,"초아 (크레용팝), 웨이 (크레용팝)",2014.0,,8266
239,딸기우유,2,여,787080,,크롬,"유지애, 베이비소울 (러블리즈), JIN, Kei (러블리즈), 정예인, 이미주, 서지수, 류수정 (러블리즈)",2014.0,,1317
240,러블리즈,8,여,789331,,울림,"세진, 은솜, 아미, 린아, 로은",2014.0,Candy Jelly Love,47006
241,워너비,5 (6),여,790377,,제니스미디어콘텐츠,"NEW SUN(뉴썬), High.D (하이디), 의진, D.ana(디애나), 나현, 민재, 수민",2014.0,My Type,711
242,소나무,7,여,792822,,TS,"P.O (블락비), 유권 (블락비), 비범 (블락비)",2015.0,Deja Vu,5647
243,블락비 바스타즈,3,남,858846,,세븐시즌스,"강민, 마일로, 민성, 승환, 윤성, 카일, 현경",2015.0,,30946
244,로미오,7,남,860516,,CT,"주헌 (몬스타엑스), 셔누 (몬스타엑스), 기현 (몬스타엑스), 형원 (몬스타엑스), 민혁 (몬스타엑스), 원호 (몬스타엑스), I.M (몬스타엑스)",2015.0,,1534
245,몬스타엑스,7,남,791216,,스타쉽,"이승협 (J.DON), 권광진, 차훈, 김재현, 유회승 (N.Flying)",2015.0,,43707
246,엔플라잉,5 (4),남,861430,,FNC,"S.COUPS (SEVENTEEN), 정한 (SEVENTEEN), 조슈아 (SEVENTEEN), 준 (SEVENTEEN), 호시 (SEVENTEEN), 원우 (SEVENTEEN), 도겸 (SEVENTEEN), 민규 (SEVENTEEN), 디에잇 (SEVENTEEN), 승관 (SEVENTEEN), Vernon (SEVENTEEN), 디노 (SEVENTEEN), WOOZI (SEVENTEEN)",2015.0,기가 막혀 (Awesome),4416
247,세븐틴,13,남,861436,,플레디스,"B.I, 김진환, BOBBY, 송윤형, 구준회, 김동혁, 정찬우",2015.0,아낀다,138704
248,아이콘,7,남,895741,,YG,"성진, Jae, Young K, 원필, 도운",2015.0,,119885
249,데이식스,5 (6),남,894864,,JYP,"진후, 쿤, 고결, 웨이, 비토, 우신, 선율, 규진, 환희 (업텐션), 샤오",2015.0,,49251
250,업텐션,10,남,894825,,티오피미디어,"에이스 (ACE), 바론 (VAV), 제이콥 (Jacob), 세인트반 (St.Van), 로우, 에이노, 지우",2015.0,"위험해 (SO, DANGEROUS)",5392
251,브이에이브이,7,남,906245,,에이팀,"민혁, 제이준, 썬, 제이빈, 싸인",2015.0,Under The Moonlight (달빛 아래서),3409
252,맵식스,5,남,913347,,드림티,"상일, 상호, 세빈, 수현, 우성, 태웅",2015.0,Storm,776
253,스누퍼,6,남,856374,,위드메이,"소원 (여자친구), 예린 (여자친구), 은하 (여자친구), 유주 (여자친구), 신비 (여자친구), 엄지 (여자친구)",2015.0,쉘 위 댄스 (Shall We Dance),1499
254,여자친구,6,여,828478,,쏘스뮤직,"최초아, 킴",2015.0,유리구슬 (Glass Bead),110556
255,러버소울,3,여,837535,,해피트라이브위드에이치씨,"장예은, 손, 오승희, 장승연, 최유진, 권은빈, 엘키",2015.0,Life (Feat. 매드클라운),928
256,씨엘씨,7 (5),여,839579,,큐브,"산하, 휘린, 아인 (써스포)",2015.0,Pepe,8095
257,써스포,3,여,856706,,TK,"효정 (오마이걸), 미미 (오마이걸), 유아 (오마이걸), 승희 (오마이걸), 지호 (오마이걸), 비니 (오마이걸), 아린 (오마이걸)",2015.0,,368
258,오마이걸,7 (8),여,857994,,WM,"여은 (멜로디데이), 예인 (멜로디데이), 차희 (멜로디데이), 유민 (멜로디데이)",2014.0,CUPID,44172
259,멜로디데이,4 (3),여,693951,,로엔뷰가,"윤채경 (에이프릴), 김채원 (에이프릴), 이나은 (에이프릴), 양예나 (에이프릴), 레이첼 (에이프릴), 이진솔 (에이프릴)",2015.0,어떤 안녕,7352
260,에이프릴,6,여,882818,,DSP미디어,"예빈 (다이아), 유니스, 제니, 정채연, 기희현, 은채, 주은, 솜이 (다이아)",2015.0,꿈사탕,12235
261,다이아,9 (7),여,890286,,MBK,"나연, 정연, 모모, 사나, 지효, 미나, 다현, 채영, 쯔위",2015.0,,14938
262,트와이스,9,여,905701,,JYP,"BM, J.seph, 전소민, 전지우",2016.0,OOH-AHH하게,179443
263,카드,4,혼,1271812,,DSP미디어,"차은우 (ASTRO), 문빈 (ASTRO), MJ (ASTRO), 진진 (ASTRO), 라키 (ASTRO), 윤산하 (ASTRO)",2016.0,Oh NaNa (Hidden. 허영지),15276
264,아스트로,6,남,945766,,판타지오,"웅재 (임팩트), 이상 (임팩트), 태호 (임팩트), 지안 (임팩트), 제업 (임팩트)",2016.0,,24338
265,임팩트,5,남,944329,,스타제국,"후이 (펜타곤), 진호 (펜타곤), 홍석, 이던, 신원, 여원, 옌안, 유토, 키노, 우석 (펜타곤)",2016.0,롤리팝 (Lollipop),1263
266,펜타곤,10,남,1201990,,큐브,"영빈, 인성, 재윤 (SF9), 다원, 로운, 주호, 태양, 휘영, 찬희",2016.0,Gorilla,15047
267,에스에프나인,9,남,1183574,,FNC,"김유진, 박승준, 정인성, 오희준, 김지훈",2016.0,팡파레 (Fanfare),7234
268,크나큰,5,남,946943,,YNB,"도영 (DOYOUNG), 재현 (JAEHYUN), 마크 (MARK), 태일 (TAEIL), 태용 (TAEYONG), 텐 (TEN), 윈윈 (WINWIN), 유타 (YUTA), 천러 (CHENLE), 해찬 (HAECHAN), 재민 (JAEMIN), 제노 (JENO), 지성 (JISUNG), 런쥔 (RENJUN), 쟈니 (JOHNNY), 정우 (JUNGWOO), 쿤 (KUN), 루카스 (LUCAS)",2016.0,KNOCK,3154
269,엔시티,18 (15),남,1866861,,SM,"김형준, 허영생, 김규종",2016.0,,17744
270,더블에스 삼공일,3,남,944939,,CIENT,"MINO, BOBBY",2016.0,,3560
271,맙,2,남,1166886,,YG,"첸 (CHEN), 백현 (BAEKHYUN), 시우민 (XIUMIN)",2016.0,빨리 전화해 (Feat. KUSH),13578
272,첸백시,3,남,1228017,,SM,"강산, 고지형, 성현, 용현, 김진섭, 김홍인, 도하, 박용권, 신재민, 아이젝, 진석, 영두, 이로운, 이우진, 이인표, 이창민, 이해준, 이화영, 정민환, 연태, 진성호, 채호철, 최성환, 최재현, 최찬이, 탁진규, 현욱, 인호",2016.0,Hey Mama!,142129
273,소년24,28,남,981468,,CJE&M라이브웍스컴퍼니,"서은광, 이창섭, 임현식, 육성재",2016.0,,1333
274,비투비-블루,4,남,1182662,,큐브,"정수빈 (VICTON), 최병찬 (VICTON), 도한세 (VICTON), 임세준 (VICTON), 허찬 (VICTON), 강승식 (VICTON), 한승우 (VICTON)",2016.0,,37409
275,빅톤,7,남,1066850,,플랜에이,"코코, 소리",2016.0,,5685
276,코코소리,2,여,927426,,소니뮤직,"설아 (우주소녀), 엑시, 보나, 성소, 은서, 다영, 다원 (우주소녀), 수빈 (우주소녀), 선의, 여름, 미기, 루다, 유연정 (우주소녀)",2016.0,다크서클,675
277,우주소녀,13 (12),여,943959,위에화,스타쉽,"유나 (AOA), 혜정 (AOA), 찬미 (AOA)",2016.0,MoMoMo (모모모),19535
278,에이오에이 크림,3,여,945586,,FNC,"단아, 새별, 세미, 해나 (마틸다 (MATILDA))",2016.0,,4471
279,마틸다,4,여,958257,,박스미디어,"나영, 미나, 세정 (구구단), 미미, 샐리, 소이, 하나 (구구단), 해빈 (구구단), 혜연",2016.0,Macarena,781
280,구구단,9,여,982876,,젤리피쉬,"지수, 제니, 로제, 리사",2016.0,Wonderland,24318
281,블랙핑크,4,여,995169,,YG,"정채연, 소미, 세정 (구구단), 최유정 (Weki Meki), 청하, 김소혜, 결경, 김도연 (Weki Meki), 미나, 나영, 유연정 (우주소녀)",2016.0,,115037
282,아이오아이,11,여,960251,,YMC,"정채연, 소미, 세정 (구구단), 최유정 (Weki Meki), 청하, 김소혜, 결경, 김도연 (Weki Meki), 미나, 나영, 유연정 (우주소녀)",2016.0,,81768
283,언니쓰,7 (6),여,990909,,한국방송공사,"김소희, 이수민, 윤채경 (에이프릴)",2016.0,,13075
284,씨아이브이에이,3,여,991420,,,"이수현, 김소희, 윤채경 (에이프릴), 이해인, 한혜리",2016.0,,4318
285,아이비아이,5,여,993794,,로엔,"이예은, 지슬, 테라모토 유키카, 소리, 이지원, 수지, 권하서, 허영주 (더 씨야), 민트, 천재인",2016.0,,12738
286,리얼걸프로젝트,10,여,1066385,,인터렉티브미디어믹스,"경리 (나인뮤지스), 혜미 (나인뮤지스), 소진 (나인뮤지스), 금조 (나인뮤지스)",2016.0,꿈을 Dream,657
287,나인뮤지스 A,4,여,994205,,스타제국,"나윤, 혜빈, 주이, 낸시, 제인, 아인 (모모랜드), 연우, 태하 (모모랜드), 데이지",2016.0,,2357
288,모모랜드,9 (7),여,1221596,,MLD,"윤두준, 용준형, 양요섭, 이기광, 손동운",2017.0,짠쿵쾅,13176
289,하이라이트,5,남,1624993,,어라운드어스,"서동성, 김철민, 김환, 오승석",2017.0,,75799
290,허니스트,4,남,1704395,,FNC,"준, 동훈, 와우, 김병관, 찬",2017.0,,1671
291,에이스,5,남,1705318,,비트인터렉티브,"시메 (Sime), 코키 (Koki), 프랭키 (Frankie), 헌터 (Hunter)",2017.0,선인장 (CACTUS),2113
292,이엑스피에디션,4,남,1701924,,아임어비비,"강다니엘, 박지훈, 이대휘, 김재환, 옹성우, 박우진, 라이관린, 윤지성, 황민현, 배진영, 하성운",2017.0,FEEL LIKE THIS,692
293,워너원,11,남,1865973,,YMC,"JR (뉴이스트), Aron (뉴이스트), 백호 (뉴이스트), 렌 (뉴이스트)",2017.0,,230428
294,뉴이스트 W,4,남,1816966,,플레디스,"송유빈 (마이틴), 김국헌 (마이틴), 신준섭, 은수, 이태빈, 천진, 한슬",2017.0,,72093
295,마이틴,7,남,1815140,,뮤직웍스,"효진, 제이어스, 이션, 라운, 유, MK, 와이엇",2017.0,어마어마하게,842
296,온앤오프,7,남,1865635,,WM,"이대열, Y, 장준, TAG, 승민, 재현, 지범, 동현, 주찬, 보민",2017.0,ON/OFF,4316
297,골든차일드,10 (11),남,1907513,,울림,"지후 (아이즈), 우수, 현준, 준영",2017.0,,6568
298,아이즈,4,남,1705423,,뮤직케이,"강민, 시우, 우엽, 지성, 지훈, 태선, 하영, 학민, 현우, 호현",2017.0,다해,1694
299,티알씨엔지,10,남,1957236,,TS,"김성리, 변현민, 서성혁, 이기원 (레인즈), 장대현, 주원탁 (JOO WON TAK), 홍은기 (레인즈)",2017.0,,989
300,레인즈,7,남,1908321,,프로,"노태현, 켄타, 김상균, 김용국, 권현빈, 김동한",2017.0,,2463
301,제이비제이,6,남,1910321,,페이브,"도까, 케이빈, 호찬, 노아, 데이, 연우, 대웅",2017.0,Fantasy,31449
302,바이칼,7,남,1956279,,바이칼,"성현, 아이젝, 연태, 이인표, 인호, 지안, 현욱",2017.0,,155
303,인투잇,8,남,2005441,,MMO,"선우 (THE BOYZ), 주학년 (THE BOYZ), 현재 (THE BOYZ), 영훈 (THE BOYZ), 활 (THE BOYZ), 케빈 (THE BOYZ), 상연 (THE BOYZ), 주연 (THE BOYZ), 뉴 (THE BOYZ), 큐 (THE BOYZ), 제이콥 (THE BOYZ), 에릭 (THE BOYZ)",2017.0,,831
304,더보이즈,12,남,1816126,,크래커,"문희, 하윤, 가온, 공유, 다윤, 채현",2017.0,,9081
305,보너스베이비,6,여,1285468,,마루기획,"예빈 (다이아), 정채연, 기희현, 유니스",2016.0,우리끼리,516
306,빈챈현스S,5 (4),여,1285252,,MBK,"제니, 은진, 은채",2016.0,너는 달 지구,1077
307,루비,3 (4),여,1285529,,MBK,"루이 (RUI), 효선, 예인, 서령, 체희",2016.0,13월 32일,860
308,에이치유비,4,여,1238995,,뉴플래닛엔터태인먼트,"희진 (이달의 소녀), 현진 (이달의 소녀), 하슬 (이달의 소녀), 비비 (이달의 소녀)",2017.0,,326
309,이달의 소녀 1/3,5,여,1625207,,블록베리크리에이티브,"은별, 서린, 한비, 미래, 위니, 엘라, 리아",2017.0,"지금, 좋아해 (Love & Live)",3080
310,립버블,4 (7),여,1626826,,제니스미디어콘텐츠,"유하, 레나, 로아, 예하나, 시연, 성연, 나영, 은우, 결경, 카일라",2017.0,팝콘 (POPCORN),335
311,프리스틴,10,여,958953,,플레디스,"나엘, 소금, 아라, 별아, 체리, 해솔, 혜진",2017.0,,13701
312,비사이드,5,여,758257,,인터렉티브미디어믹스,"소희, 가린, 유경, 혜성, 벨라",2017.0,,4
313,힌트,7,여,1627831,,스타프로,"슬기 (SEULGI), 문별 (마마무), 유아 (오마이걸), 류수정 (러블리즈), D.ana(디애나), 소미, 김소희",2017.0,,192
314,엘리스,5,여,1704756,,후너스,서진,2017.0,우리 처음,2498
315,옆집소녀,7,여,1759536,,한국방송공사,"샌디, 유림, 유지, 하은, 현민",2017.0,,3627
316,지지배,4,여,1759736,,NWSTUDIOS,"최유정 (Weki Meki), 김도연 (Weki Meki), 지수연 (Weki Meki), 엘리 (Weki Meki), 세이 (Weki Meki), Lua (Weki Meki), 리나 (Weki Meki), 루시 (Weki Meki)",2017.0,다 너 때문이야,87
317,애플비,5,여,1865569,,GH,"미나, 혜연",2017.0,우쭈쭈,205
318,위키미키,8,여,1816806,,판타지오,"지해, 달, 민지, 가을, 앤, 세빈",2017.0,,7421
319,구구단 오구오구,2,여,1867147,,젤리피쉬,"희진 (GOOD DAY), 지니, 체리, 채솔, 하은, 비바, 나윤, 지원, 보민, 럭키",2017.0,ICE CHU,1541
320,에스아이에스,6,여,1868086,,더블엑스,"김립 (이달의 소녀), 진솔 (이달의 소녀), 최리 (이달의 소녀)",2017.0,느낌이 와,431
321,굿데이,10,여,1907765,,C9,"준 (U-Kiss), 의진, 호정, 필독 (BIGSTAR), 마르코, 지한솔, 대원 (DAEWON), 기중, 찬",2018.0,Rolly,603
322,이달의 소녀 오드아이써클,3,여,1910699,,블록베리크리에이티브,"노지선, 송하영, 이새롬, 이채영, 이나경, 박지원, 이서연, 백지헌, 장규리",2018.0,,3077
323,유앤비,9,남,2111640,,MBK,"효정 (오마이걸), 비니 (오마이걸), 아린 (오마이걸)",2018.0,감각,3063
324,프로미스나인,9,여,2019210,,스톤뮤직,"소연, 미연, 수진, 우기, 슈화, 민니",2018.0,,5108
325,오마이걸 반하나,3,여,2112888,,WM,"의진, 예빈 (다이아), 앤씨아, 윤조, 이현주, 양지원 (스피카), 우희 (달샤벳), ZN (LABOUM), 수지",2018.0,,3392
326,(여자)아이들,6,여,2137482,,큐브,"나영, 결경, 로아, 은우, 레나",2018.0,,16884
327,유니티,9,여,2111639,,MBK,"방찬 (3RACHA), 우진, 리노, 창빈 (3RACHA), 현진, 한 (3RACHA), 필릭스, 승민, 아이엔",2017.0,,1691
328,프리스틴 V,5,여,2139823,,플레디스,"세정 (구구단), 미나, 나영",2018.0,,1944
329,스트레이 키즈,9,남,2006344,,JYP,"방찬 (3RACHA), 우진, 리노, 창빈 (3RACHA), 현진, 한 (3RACHA), 필릭스, 승민, 아이엔",2017.0,,7549
330,구구단 세미나,3,여,2203723,,젤리피쉬,"세정 (구구단), 미나, 나영",,,1634
331,소녀시대 오지지,5,여,2296946,,SM,"태연 (TAEYEON), 써니 (SUNNY), 유리 (YURI), 효연 (HYOYEON), 윤아 (YOONA)",,,5795
