,source,target,count
202,이종현 (CNBLUE),씨엔블루,9
203,차쿤 (일렉트로보이즈),에이오에이,9
204,비토,업텐션,9
205,BEOMxNANG,에이핑크,9
206,Do,디베이스,9
207,Brian Kim,신화,9
208,용감한 형제,브레이브걸스,9
209,토니 안,에이치오티,9
210,조윤경,소녀시대,9
211,은진,다이아,9
212,용감한 형제,유키스,9
213,백호 (뉴이스트),뉴이스트 W,9
214,렌,오션,9
215,민연재,보이프렌드,9
216,젤로,비에이피,9
217,TAG,골든차일드,8
218,유영진,신화,8
219,미친감성,헤일로,8
220,Chloe,갓세븐,8
221,Ferdy (MosPick),씨엘씨,8
222,택연,투피엠,8
223,용배 (RBW),아스트로,8
224,성연,프리스틴,8
225,조윤경,레드벨벳,8
226,박진영,갓세븐,8
227,김상균,제이비제이,8
228,김기범,시크릿,8
229,이트라이브,달샤벳,8
230,김이나,써니힐,8
231,임선아,버즈,8
232,장준,골든차일드,8
233,핫펠트 (예은),원더걸스,8
234,L.Joe,틴탑,8
235,마크 (GOT7),갓세븐,8
236,웨이,업텐션,8
237,NODAY,갓세븐,8
238,최갑원,하이포,8
239,은수,마이틴,8
240,라도,씨클라운,8
241,이도연,버즈,8
242,리시,몬스타엑스,8
243,신우,비원에이포,8
244,마르코,비에이피,8
245,최갑원,씨리얼,8
246,신사동 호랭이,티아라,8
247,수빈,달샤벳,8
248,김재중,제이와이제이,8
249,동해 (DONGHAE),슈퍼 주니어-디앤이,8
250,조은희,플라이 투 더 스카이,8
251,이단옆차기,제이제이씨씨,8
252,BUMZU,뉴이스트,8
253,승관 (SEVENTEEN),세븐틴,8
254,서융근,플라이 투 더 스카이,7
255,소연,(여자)아이들,7
256,일 (IL),비투비,7
257,Urban Cllasik,제국의 아이들,7
258,최규성,비스트,7
259,코스믹 사운드,마마무,7
260,이단옆차기,god,7
261,찬열 (CHANYEOL),엑소,7
262,차쿤 (일렉트로보이즈),빅스타,7
263,후이 (펜타곤),펜타곤,7
264,김영아,엔알지,7
265,god,god,7
266,김창락,엔플라잉,7
267,Misfit,에프엑스,7
268,홍지상,원더걸스,7
269,정하,비트윈,7
270,준케이 (JUN. K),투피엠,7
271,유니스,다이아,7
272,용감한 형제,애프터 스쿨,7
273,쿤,업텐션,7
274,한성호,에스에프나인,7
275,황현 (MonoTree),온앤오프,7
276,잭슨 (GOT7),갓세븐,7
277,김수정,오션,7
278,강은경,알이에프,7
279,이단옆차기,모모랜드,7
280,Team One Sound,슈퍼주니어,7
281,조윤경,슈퍼주니어,7
282,유영진,플라이 투 더 스카이,7
283,강동하,펜타곤,7
284,임팩트,임팩트,7
285,유영진,슈퍼주니어,7
286,이단옆차기,터보,7
287,박수석,소나무,7
288,윤후,비트윈,7
289,서지음,러블리즈,7
290,창조,틴탑,7
291,Ferdy (MosPick),비투비,7
292,Cream,엠아이비,7
293,kenzie,슈퍼주니어,7
294,이노베이터,엔플라잉,7
295,몬스터팩토리,다이아,7
296,박은우,소나무,7
297,동해 (DONGHAE),슈퍼주니어,7
298,이단옆차기,엠블랙,7
299,Team One Sound,슈퍼 주니어-디앤이,7
300,우태운,스피드,7
301,이현우,엔알지,6
302,민우 (보이프렌드),보이프렌드,6
303,장동우 (인피니트),인피니트 에이치,6
304,김부민,샤이니,6
305,Mafly,여자친구,6
306,별들의 전쟁,빅스타,6
307,진리 (Full8loom),아스트로,6
308,김형규,쿨,6
309,빅싼초 (Yummy Tone),비투비,6
310,NODAY,비스트,6
311,72,오마이걸,6
312,정한 (SEVENTEEN),세븐틴,6
313,이희승,씨엔블루,6
314,P.O (블락비),블락비 바스타즈,6
315,이희승,에프티 아일랜드,6
316,광민 (보이프렌드),보이프렌드,6
317,ZeroZine (MosPick),비투비,6
318,김미진,빅스,6
319,정일훈,씨엘씨,6
320,민연재,달샤벳,6
321,준Q,마이네임,6
322,코스믹 걸 (Cosmic Girl),마마무,6
323,지국현,신화,6
324,장우혁,제이티엘,6
325,정창욱,나인뮤지스,6
326,남태현,위너,6
327,민호 (MINHO),샤이니,6
328,성현,인투잇,6
329,장성재,테이크,6
330,이기광,비스트,6
331,인우,비에이피,6
332,낯선,제국의 아이들,6
333,ESBEE,몬스타엑스,6
334,서재우 (TENTEN),씨엘씨,6
335,박진영,투에이엠,6
336,정진환,오션,6
337,HOYA (호야),인피니트 에이치,6
338,원펀치,엔소닉,6
339,kenzie,동방신기,6
340,SWIN,유키스,6
