,artist,member_num,gender,idol_id,agency_old,agency_new,artist_m,debut_y,debut_t
304,더보이즈,12,남,1816126,,크래커,"선우 (THE BOYZ), 주학년 (THE BOYZ), 현재 (THE BOYZ), 영훈 (THE BOYZ), 활 (THE BOYZ), 케빈 (THE BOYZ), 상연 (THE BOYZ), 주연 (THE BOYZ), 뉴 (THE BOYZ), 큐 (THE BOYZ), 제이콥 (THE BOYZ), 에릭 (THE BOYZ)",,
305,보너스베이비,6,여,1285468,,마루기획,"문희, 하윤, 가온, 공유, 다윤, 채현",2017,우리끼리
306,빈챈현스S,5 (4),여,1285252,,MBK,"예빈 (다이아), 정채연, 기희현, 유니스",2016,너는 달 지구
307,루비,3 (4),여,1285529,,MBK,"제니, 은진, 은채",2016,13월 32일
308,에이치유비,4,여,1238995,,뉴플래닛엔터태인먼트,"루이 (RUI), 효선, 예인, 서령, 체희",,
309,이달의 소녀 1/3,5,여,1625207,,블록베리크리에이티브,"희진 (이달의 소녀), 현진 (이달의 소녀), 하슬 (이달의 소녀), 비비 (이달의 소녀)",2017,"지금, 좋아해 (Love & Live)"
310,립버블,4 (7),여,1626826,,제니스미디어콘텐츠,"은별, 서린, 한비, 미래, 위니, 엘라, 리아",2017,팝콘 (POPCORN)
311,프리스틴,10,여,958953,,플레디스,"유하, 레나, 로아, 예하나, 시연, 성연, 나영, 은우, 결경, 카일라",,
312,비사이드,5,여,758257,,인터렉티브미디어믹스,,,
313,힌트,7,여,1627831,,스타프로,"나엘, 소금, 아라, 별아, 체리, 해솔, 혜진",,
314,엘리스,5,여,1704756,,후너스,"소희, 가린, 유경, 혜성, 벨라",2017,우리 처음
315,옆집소녀,7,여,1759536,,한국방송공사,"슬기 (SEULGI), 문별 (마마무), 유아 (오마이걸), 류수정 (러블리즈), D.ana(디애나), 소미, 김소희",,
316,지지배,4,여,1759736,,NWSTUDIOS,서진,2017,다 너 때문이야
317,애플비,5,여,1865569,,GH,"샌디, 유림, 유지, 하은, 현민",2017,우쭈쭈
318,위키미키,8,여,1816806,,판타지오,"최유정 (Weki Meki), 김도연 (Weki Meki), 지수연 (Weki Meki), 엘리 (Weki Meki), 세이 (Weki Meki), Lua (Weki Meki), 리나 (Weki Meki), 루시 (Weki Meki)",,
319,구구단 오구오구,2,여,1867147,,젤리피쉬,"미나, 혜연",2017,ICE CHU
320,에스아이에스,6,여,1868086,,더블엑스,"지해, 달, 민지, 가을, 앤, 세빈",2017,느낌이 와
321,굿데이,10,여,1907765,,C9,"희진 (GOOD DAY), 지니, 체리, 채솔, 하은, 비바, 나윤, 지원, 보민, 럭키",2017,Rolly
322,이달의 소녀 오드아이써클,3,여,1910699,,블록베리크리에이티브,"김립 (이달의 소녀), 진솔 (이달의 소녀), 최리 (이달의 소녀)",2017,
323,유앤비,9,남,2111640,,MBK,"준 (U-Kiss), 의진, 호정, 필독 (BIGSTAR), 마르코, 지한솔, 대원 (DAEWON), 기중, 찬",2018,감각
324,프로미스나인,9,여,2019210,,스톤뮤직,"노지선, 송하영, 이새롬, 이채영, 이나경, 박지원, 이서연, 백지헌, 장규리",,
325,오마이걸 반하나,3,여,2112888,,WM,"효정 (오마이걸), 비니 (오마이걸), 아린 (오마이걸)",2018,
326,(여자)아이들,6,여,2137482,,큐브,"소연, 미연, 수진, 우기, 슈화, 민니",2018,
327,유니티,9,여,2111639,,MBK,"의진, 예빈 (다이아), 앤씨아, 윤조, 이현주, 양지원 (스피카), 우희 (달샤벳), ZN (LABOUM), 수지",2018,
328,프리스틴 V,5,여,2139823,,플레디스,"나영, 결경, 로아, 은우, 레나",2018,
329,스트레이 키즈,9,남,2006344,,JYP,"방찬 (3RACHA), 우진, 리노, 창빈 (3RACHA), 현진, 한 (3RACHA), 필릭스, 승민, 아이엔",2017,
330,구구단 세미나,3,여,2203723,,젤리피쉬,"세정 (구구단), 미나, 나영",,
