,artist,member_num,gender,idol_id,agency_old,agency_new,artist_m,debut_y,debut_t
164,엑소,9 (12),남,724619,,SM,"카이 (KAI), 첸 (CHEN), 세훈 (SEHUN), 레이 (LAY), 시우민 (XIUMIN), 백현 (BAEKHYUN), 디오 (D.O.), 수호 (SUHO), 찬열 (CHANYEOL), 크리스 (KRIS), 루한 (LUHAN), 타오 (TAO)",2013,늑대와 미녀 (Wolf)
165,JJ 프로젝트,2,남,672041,,JYP,"JB (GOT7), 진영 (GOT7)",2012,Bounce
166,빅스,6,남,672560,,젤리피쉬,"엔 (VIXX), 레오 (빅스), 라비 (빅스), 켄 (빅스), 홍빈 (빅스), 혁 (빅스)",2012,SUPER HERO
167,에이젝스,5 (8),남,672551,,DSP미디어,"형곤, 재형, 효준, 윤영, 성민, 승엽, 승진",2012,ONE 4 U
168,크로스진,6,남,674297,,아뮤즈코리아,"신, 타쿠야, 용석, 상민, 세영",2012,La-Di Da-Di (라-디 다-디)
169,빅스타,5,남,684868,,브레이브,"필독 (BIGSTAR), 바람, 래환 (BIGSTAR), 주드 (BIGSTAR), 성학 (BIGSTAR)",2012,HOT BOY (핫보이)
170,씨클라운,6,남,685624,,바나나컬쳐,"Rome, 시우, Ray, 강준, T.K, 마루",2012,SOLO
171,투포케이,7,남,696519,,조은,"코리, 정욱, 진홍, 홍섭, 창선, 기용",2012,빨리와
172,백퍼센트,5 (7),남,697486,,티오피미디어,"혁진, 록현, 찬용, 민우, 종환",2012,나쁜놈
173,미스터미스터,5,남,698830,,로엔,"진, 창재, 태이, 도연, 상현, 재민",2012,
174,이엑스아이디,5 (6),여,630454,,바나나컬쳐,"LE (EXID), 정화 (EXID), 혜린 (EXID), 솔지 (EXID), 하니 (EXID)",2012,WHOZ THAT GIRL
175,스피카,5,여,615471,,CJE&M,"양지원 (스피카), 김보아 (스피카), 박시현 (스피카), 박나래 (스피카), 김보형",2012,독하게
176,레인보우 픽시,3,여,614911,,DSP미디어,"현영 (레인보우), 오승아, 지숙",2012,호이 호이 (Hoi Hoi)
177,소녀시대-태티서,3,여,663691,,SM,"태연 (TAEYEON), 티파니 (TIFFANY), 서현 (SEOHYUN)",2012,Twinkle
178,헬로비너스,6,여,668491,,판타지오,"앨리스 (헬로비너스), 나라 (헬로비너스), 라임 (헬로비너스), 유영 (헬로비너스), 여름 (헬로비너스), 서영 (헬로비너스)",2012,Venus
179,갱키즈,7,여,672106,,MBK,"황지현, 최수은, 이해인, 김혜지, 소민, 조은별, 에스더",2012,HONEY HONEY
180,써니데이즈,5,여,672919,,하은,"선경, 정윤, 희라, 다솜, 다영",2012,가져가 (Take Away)
181,글램,4,여,685319,쏘스뮤직,빅히트,"이미소, 박지연, 다희, ZINNI",2012,
182,에이오에이,6 (8),여,686920,,FNC,"설현 (AOA), 혜정 (AOA), 찬미 (AOA), 유나 (AOA), 민아 (AOA), 지민 (AOA)",2012,ELVIS
183,크레용팝,4 (5),여,685904,,크롬,"엘린, 소율, 금미 (크레용팝), 초아 (크레용팝), 웨이 (크레용팝)",2012,Saturday Night
184,디유닛,3,여,683453,,디비즈니스,"R.A.M, Z.I.N (디유닛), Ujin",2012,I`m Missin` You
185,이블,5,여,686378,,후너스,"Say, J-DA, 쥬시 (JUCY), Hayana (하야나), YULL",,
186,투엑스,4 (5),여,690511,제이튠캠프,스타게이즈(,"지유 (JIU), 은 (EUN), 수린 (SURIN), 은영 (EUN YOUNG)",2012,Double Up
187,스카프,5,여,687891,,알파,"페린, 타샤, 제니, 주아, 하나",2012,
188,타이니지,3 (4),여,671571,,지앤지프로덕션,"도희, 제이민, 민트",2012,Polaris
189,피에스타,5 (6),여,686679,,로엔,"재이, 린지, 예지, 옐 (YEL), 차오루",2012,Vista
190,비비드걸,6,여,697811,,빅스타,,,
191,타히티,5 (6),여,685746,,드림스타,"아리, 미소, 지수, 민재, 제리",2012,Tonight
192,비비드,3 (6),여,651431,,엔트리,"박성희, 정아영, 신아름, 쇼킹, 설린",2012,
193,인피니트 에이치,2,남,715422,,울림,"HOYA (호야), 장동우 (인피니트)",2013,Special Girl (Feat. Bumkey)
194,제아 파이브,5,남,719888,,스타제국,"임시완, 김동준, 박형식, Kevin, 하민우",2013,헤어지던 날
195,히스토리,5,남,721703,,로엔,"송경일, 나도균, 김시형, 김재호, 장이정 (JANGYIJEONG)",2013,Dreamer (Narr. 아이유)
196,엘씨나인,5 (6),남,723216,,내가네트워크,"제이효, 라사, 킹, 아오, 준, 이든",2013,MaMa Beat (Feat. 가인)
197,핫젝갓알지,5,남,722812,,,,2013,할 수 있어
198,방탄소년단,7,남,672375,,빅히트,"RM, SUGA, 진, j-hope, 지민, V, 정국",2013,No More Dream
199,스피드,8,남,714785,,MBK,"성민 (스피드), 종국 (스피드), 정우 (스피드), KIDZ (키즈), 유환 (스피드), 태하 (스피드), KI-O",2013,IT`S OVER (Feat. 박보영)
200,소년공화국,5,남,724751,,유니버설뮤직해피트라이브,"선우, 민수, 성준, 수웅, 원준 (소년공화국)",2013,전화해 집에 (Party Rock)
201,엔오엠,3 (5),남,730335,,제이엠스타,"J.K, KOM, NIO, Q",,
202,프로씨,2,남,745722,,지앤아이,,2013,
203,투윤,2,여,715898,,큐브,"전지윤 (JENYER), 허가윤 (4minute)",2013,24/7
204,다소니,2,여,717917,,바나나컬쳐,"솔지 (EXID), 하니 (EXID)",2013,Good Bye
205,레이디스 코드,3 (5),여,718807,,일광폴라리스,"소정 (레이디스 코드), 애슐리, 주니",2013,나쁜여자
206,베스티,4,여,727818,,YNB,"혜연, 유지, 다혜, 해령",2013,두근두근
207,와썹,7,여,729885,,마피아레코드,"나리, 수진, 우주, 지애",2013,Wa$$up
208,키스&크라이,4,여,741841,,위닝인사이트엠,보혜,,
209,틴트,5,여,742722,,GH,"메이, 미림, 미니, 제이미, 상미",2013,첫눈에 반했어
210,엠앤엔,2,여,744134,,미스틱,"미료, 나르샤 (Brown Eyed Girls)",,
211,풍뎅이,3,여,747339,,DoMA,"빨강 (Red), 파랑 (Blue), 노랑 (Yellow)",2013,알탕
212,비트윈,2 (6),남,749361,,골드문뮤직에렌,"선혁, 영조, 정하, 윤후, 성호",2014,갖고싶니 (She`s My Girl)
213,비에이,5,남,749603,,크롬,"홍규, 영균, 밀리 (MILLY), 아토 (ATO), 범 (BomB)",2014,뭣 모르고
214,갓세븐,7,남,751059,,JYP,"JB (GOT7), 진영 (GOT7), 마크 (GOT7), 잭슨 (GOT7), 영재 (GOT7), 뱀뱀 (GOT7), 유겸 (GOT7)",2014,Girls Girls Girls
215,투하트,2,남,760193,울림,SM,"남우현, 키 (KEY)",2014,Delicious
216,제이제이씨씨,7 (5),남,762950,,더잭키찬그룹코리아,"산청, 심바, 에디, 이코, 프린스맥, 율, 지카",2014,첨엔 다 그래
217,하이포,4,남,767374,,NAP,"레노, 백명한, 임영준 (하이포), 알렉스 (하이포)",2014,봄 사랑 벚꽃 말고
218,빅플로,6,남,775702,,에이치오컴퍼니,"HIGHTOP, 론, 의진, 성민, 렉스",2014,딜라일라 (Delilah)
219,헤일로,6,남,775874,,아인홀딩스,"윤동 (YOON DONG), 희천 (HEE CHEON), 재용 (JAE YONG), 인행 (IN HAENG), 디노 (DINO), 오운 (OOON)",2014,체온이 뜨거워
220,엘에이유,3 (5),남,1383117,,팬,"해원, 초이, 경진, 진완, 동현",,
221,비아이지,5,남,777394,,GH,"벤지 (비아이지), 건민, 희도, 제이훈, 국민표",2014,안녕하세요
222,위너,4 (5),남,775197,,YG,"강승윤, 이승훈, MINO, 김진우",2014,공허해
223,유니크,5,남,786696,,위에화,"승연 (Luizy), 성주 of Uniq, 이보, 문한, 조이쉔",2014,Falling In Love
224,매드타운,7,남,786412,,지앤아이,"호 (H.O), 허준 (HEOJUN), 버피 (BUFFY), 조타 (JOTA), 이건 (매드타운), 무스 (MOOS), 대원 (DAEWON)",,
225,핫샷,6,남,787976,,케이오사운드/아더앤에이블/스타크루이엔티,"준혁, 티모테오, 노태현, 하성운, 윤산, 호정",2014,Take A Shot
226,지디 앤 태양,2,남,790881,,YG,"G-DRAGON, 태양",,
227,인피니트F,3,남,789608,,울림,"엘 (인피니트), 이성열 (인피니트), 이성종 (인피니트)",2014,가슴이 뛴다
228,칠학년일반,7,여,753271,,다른별,"백세희, 강민주, 신이랑, 고은실, 권소정, 유화, 한빛나",2014,오빠 바이러스
229,윙스,2,여,760801,,소니뮤직,"나영, 예슬",2014,Hair Short (헤어숏)
230,레드벨벳,5 (4),여,780066,,SM,"웬디 (WENDY), 아이린 (IRENE), 슬기 (SEULGI), 조이 (JOY), 예리 (YERI)",2014,행복 (Happiness)
231,스피카.S,4,여,785143,B2M,CJE&M,,2014,남주긴 아까워?
232,레인보우 블랙,4,여,750398,,DSP미디어,"김재경, 현영 (레인보우), 오승아, 고우리",2014,Cha Cha
233,베리굿,5,여,773603,,아시아브릿지,"태하, 고운, 서율, 다예, 세형, 조현",,
234,단발머리,4,여,774914,,크롬,"다혜, 단비, 지나, 유정",2014,No Way
235,마마무,4,여,750053,,RBW,"솔라 (마마무), 문별 (마마무), 휘인 (마마무), 화사 (마마무)",2014,Mr.애매모호
236,에이코어,5,여,778135,,두리퍼블릭,"케미 (Kemy), 민주, 지영, 태희, 다야",2014,Payday
237,라붐,5 (6),여,783462,내가네트워크,NH미디어,"솔빈 (LABOUM), 소연 (LABOUM), ZN (LABOUM), 해인 (LABOUM), 유정 (LABOUM)",2014,두근두근
238,드림캐쳐,7 (5),여,1284664,,해피페이스,"지유, 한동, 시연, 가현, 수아, 유현, 다미",,
239,딸기우유,2,여,787080,,크롬,"초아 (크레용팝), 웨이 (크레용팝)",,
240,러블리즈,8,여,789331,,울림,"유지애, 베이비소울 (러블리즈), JIN, Kei (러블리즈), 정예인, 이미주, 서지수, 류수정 (러블리즈)",2014,Candy Jelly Love
241,워너비,5 (6),여,790377,,제니스미디어콘텐츠,"세진, 은솜, 아미, 린아, 로은",2014,My Type
242,소나무,7,여,792822,,TS,"NEW SUN(뉴썬), High.D (하이디), 의진, D.ana(디애나), 나현, 민재, 수민",2014,Deja Vu
243,블락비 바스타즈,3,남,858846,,세븐시즌스,"P.O (블락비), 유권 (블락비), 비범 (블락비)",,
244,로미오,7,남,860516,,CT,"강민, 마일로, 민성, 승환, 윤성, 카일, 현경",2015,
245,몬스타엑스,7,남,791216,,스타쉽,"주헌 (몬스타엑스), 셔누 (몬스타엑스), 기현 (몬스타엑스), 형원 (몬스타엑스), 민혁 (몬스타엑스), 원호 (몬스타엑스), I.M (몬스타엑스)",,
246,엔플라잉,5 (4),남,861430,,FNC,"이승협 (J.DON), 권광진, 차훈, 김재현, 유회승 (N.Flying)",2015,기가 막혀 (Awesome)
247,세븐틴,13,남,861436,,플레디스,"S.COUPS (SEVENTEEN), 정한 (SEVENTEEN), 조슈아 (SEVENTEEN), 준 (SEVENTEEN), 호시 (SEVENTEEN), 원우 (SEVENTEEN), 도겸 (SEVENTEEN), 민규 (SEVENTEEN), 디에잇 (SEVENTEEN), 승관 (SEVENTEEN), Vernon (SEVENTEEN), 디노 (SEVENTEEN), WOOZI (SEVENTEEN)",2015,아낀다
248,아이콘,7,남,895741,,YG,"B.I, 김진환, BOBBY, 송윤형, 구준회, 김동혁, 정찬우",,
249,데이식스,5 (6),남,894864,,JYP,"성진, Jae, Young K, 원필, 도운",,
250,업텐션,10,남,894825,,티오피미디어,"진후, 쿤, 고결, 웨이, 비토, 우신, 선율, 규진, 환희 (업텐션), 샤오",2015,"위험해 (SO, DANGEROUS)"
251,브이에이브이,7,남,906245,,에이팀,"에이스 (ACE), 바론 (VAV), 제이콥 (Jacob), 세인트반 (St.Van), 로우, 에이노, 지우",2015,Under The Moonlight (달빛 아래서)
252,맵식스,5,남,913347,,드림티,"민혁, 제이준, 썬, 제이빈, 싸인",2015,Storm
253,스누퍼,6,남,856374,,위드메이,"상일, 상호, 세빈, 수현, 우성, 태웅",2015,쉘 위 댄스 (Shall We Dance)
254,여자친구,6,여,828478,,쏘스뮤직,"소원 (여자친구), 예린 (여자친구), 은하 (여자친구), 유주 (여자친구), 신비 (여자친구), 엄지 (여자친구)",2015,유리구슬 (Glass Bead)
255,러버소울,3,여,837535,,해피트라이브위드에이치씨,"최초아, 킴",2015,Life (Feat. 매드클라운)
256,씨엘씨,7 (5),여,839579,,큐브,"장예은, 손, 오승희, 장승연, 최유진, 권은빈, 엘키",2015,Pepe
257,써스포,3,여,856706,,TK,"산하, 휘린, 아인 (써스포)",,
258,오마이걸,7 (8),여,857994,,WM,"효정 (오마이걸), 미미 (오마이걸), 유아 (오마이걸), 승희 (오마이걸), 지호 (오마이걸), 비니 (오마이걸), 아린 (오마이걸)",2015,CUPID
259,멜로디데이,4 (3),여,693951,,로엔뷰가,"여은 (멜로디데이), 예인 (멜로디데이), 차희 (멜로디데이), 유민 (멜로디데이)",2014,어떤 안녕
260,에이프릴,6,여,882818,,DSP미디어,"윤채경 (에이프릴), 김채원 (에이프릴), 이나은 (에이프릴), 양예나 (에이프릴), 레이첼 (에이프릴), 이진솔 (에이프릴)",2015,꿈사탕
261,다이아,9 (7),여,890286,,MBK,"예빈 (다이아), 유니스, 제니, 정채연, 기희현, 은채, 주은, 솜이 (다이아)",2015,
