,source,target,count
0,RM,방탄소년단,86
1,SUGA,방탄소년단,73
2,Pdogg,방탄소년단,70
3,방용국,비에이피,69
4,j-hope,방탄소년단,68
5,박진영,god,68
6,G-DRAGON,빅뱅,63
7,라비 (빅스),빅스,61
8,정일훈,비투비,58
9,바로,비원에이포,54
10,주헌 (몬스타엑스),몬스타엑스,51
11,WOOZI (SEVENTEEN),세븐틴,50
12,정용화 (CNBLUE),씨엔블루,49
13,이민혁,비투비,48
14,I.M (몬스타엑스),몬스타엑스,48
15,한성호,에프티 아일랜드,45
16,용준형,비스트,42
17,방시혁,방탄소년단,41
18,유건형,언타이틀,40
19,이현도,듀스,38
20,Young K,데이식스,37
21,진영,비원에이포,36
22,송수윤,보이프렌드,36
23,이승호,터보,35
24,Vernon (SEVENTEEN),세븐틴,34
25,S.COUPS (SEVENTEEN),세븐틴,33
26,Slow Rabbit,방탄소년단,33
27,B.I,아이콘,32
28,지코 (ZICO),블락비,32
29,서태지,서태지와 아이들,31
30,미료,브라운 아이드 걸스,31
31,BUMZU,세븐틴,31
32,프니엘,비투비,30
33,이홍기 (FT아일랜드),에프티 아일랜드,30
34,LE (EXID),이엑스아이디,30
35,송수윤,인피니트,30
36,김태훈,쿨,29
37,문별 (마마무),마마무,28
38,이상민,룰라,28
39,Supreme Boi,방탄소년단,27
40,용감한 형제,틴탑,27
41,송수윤,카라,27
42,MINO,위너,27
43,BOBBY,아이콘,27
44,우석 (펜타곤),펜타곤,27
45,이던,펜타곤,26
46,M (이민우),신화,26
47,한성호,씨엔블루,25
48,테디,투애니원,25
49,테디,원타임,25
50,엑시,우주소녀,25
51,김이나,브라운 아이드 걸스,25
52,김영아,젝스키스,24
53,이상민,샤크라,23
54,이승호,쿨,23
55,장대성,쿨,23
56,진진 (ASTRO),아스트로,22
57,민규 (SEVENTEEN),세븐틴,22
58,김태윤,쿨,22
59,이승호,구피,22
60,라키 (ASTRO),아스트로,21
61,김지향,빅스,21
62,이승훈,위너,21
63,유토,펜타곤,21
64,박우상,마마무,21
65,유영진,동방신기,20
66,이승협 (J.DON),엔플라잉,20
67,테디,빅뱅,20
68,이재진 (FT아일랜드),에프티 아일랜드,20
69,유영진,에이치오티,19
70,서재우 (TENTEN),비투비,19
71,한경혜,쿨,19
72,한 (3RACHA),스트레이 키즈,19
73,천성일,노이즈,19
74,방찬 (3RACHA),스트레이 키즈,19
75,창빈 (3RACHA),스트레이 키즈,19
76,도한세 (VICTON),빅톤,19
77,박진영,원더걸스,19
78,천명훈,엔알지,19
79,임현식,비투비,18
80,원우 (SEVENTEEN),세븐틴,18
81,홍재선,알이에프,18
82,한재호,카라,18
83,T.O.P,빅뱅,18
84,김영아,핑클,18
85,방시혁,투에이엠,17
86,SWEETUNE,스누퍼,17
87,송백경,원타임,17
88,차쿤 (일렉트로보이즈),틴탑,17
89,한진우,터보,17
90,JB (GOT7),갓세븐,17
91,지민 (AOA),에이오에이,16
92,강타 (KANGTA),에이치오티,16
93,T.K,씨클라운,16
94,박경 (블락비),블락비,16
95,김영아,쿨,16
96,강지원,시크릿,16
97,송수윤,나인뮤지스,16
98,서정환,언타이틀,16
99,김승수,카라,16
100,Rome,씨클라운,15
101,용감한 형제,에이오에이,15
102,신사동 호랭이,이엑스아이디,15
103,강승윤,위너,15
104,심스 ($IM$),엠아이비,15
105,서지음,오마이걸,15
106,직 재스퍼 (Zick Jasper),엠아이비,15
107,이기 (오레오),여자친구,15
108,박수석,비에이피,15
109,김도훈 (RBW),마마무,15
110,김태주,비스트,15
111,홍종구,노이즈,15
112,한성호,에이오에이,15
113,HighTop,빅플로,15
114,강지원,비에이피,14
115,김태주,크나큰,14
116,에릭,신화,14
117,박성호 (구피),구피,14
118,C.A.P,틴탑,14
119,박진영,투피엠,14
120,룰라,룰라,14
121,이희승,에프티 아일랜드,14
122,강남,엠아이비,14
123,은혁 (EUNHYUK),슈퍼주니어,14
124,마부스 (Maboos),틴탑,14
125,김기범,비에이피,14
126,최종훈 (FT아일랜드),에프티 아일랜드,14
127,디노 (SEVENTEEN),세븐틴,14
128,용배 (RBW),여자친구,14
129,문희준,에이치오티,14
130,김창환,노이즈,14
131,김기범,시크릿,13
132,신우,비원에이포,13
133,예빈 (다이아),다이아,13
134,호시 (SEVENTEEN),세븐틴,13
135,서용배 (TENTEN),비투비,13
136,김창락,비에이피,13
137,김승수,인피니트,13
138,장예은,씨엘씨,13
139,JQ,엑소,13
140,종현 (JONGHYUN),샤이니,13
141,한재호,인피니트,13
142,미르 (MBLAQ),엠블랙,13
143,미미 (오마이걸),오마이걸,13
