,artist,member_num,gender,idol_id,agency_old,agency_new,melon_artist,artist_m,debut_y,debut_t
258,오마이걸,7 (8),여,857994.0,,WM,써스포 (SUS4),"산하, 휘린, 아인 (써스포)",,
259,멜로디데이,4 (3),여,693951.0,,로엔뷰가,오마이걸,"효정 (오마이걸), 미미 (오마이걸), 유아 (오마이걸), 승희 (오마이걸), 지호 (오마이걸), 비니 (오마이걸), 아린 (오마이걸)",2015,CUPID
260,에이프릴,6,여,882818.0,,DSP미디어,멜로디데이 (MelodyDay),"여은 (멜로디데이), 예인 (멜로디데이), 차희 (멜로디데이), 유민 (멜로디데이)",2014,어떤 안녕
261,다이아,9 (7),여,890286.0,,MBK,에이프릴 (APRIL),"윤채경 (에이프릴), 김채원 (에이프릴), 이나은 (에이프릴), 양예나 (에이프릴), 레이첼 (에이프릴), 이진솔 (에이프릴)",2015,꿈사탕
262,트와이스,9,여,905701.0,,JYP,DIA (다이아),"예빈 (다이아), 유니스, 제니, 정채연, 기희현, 은채, 주은, 솜이 (다이아)",2015,
263,카드,4,혼,1271812.0,,DSP미디어,TWICE (트와이스),"나연, 정연, 모모, 사나, 지효, 미나, 다현, 채영, 쯔위",2015,OOH-AHH하게
264,아스트로,6,남,945766.0,,판타지오,카드 (KARD),"BM, J.seph, 전소민, 전지우",2016,Oh NaNa (Hidden. 허영지)
265,임팩트,5,남,944329.0,,스타제국,아스트로 (ASTRO),"차은우 (ASTRO), 문빈 (ASTRO), MJ (ASTRO), 진진 (ASTRO), 라키 (ASTRO), 윤산하 (ASTRO)",,
266,펜타곤,10,남,1201990.0,,큐브,임팩트,"웅재 (임팩트), 이상 (임팩트), 태호 (임팩트), 지안 (임팩트), 제업 (임팩트)",2016,롤리팝 (Lollipop)
267,에스에프나인,9,남,1183574.0,,FNC,펜타곤,"후이 (펜타곤), 진호 (펜타곤), 홍석, 이던, 신원, 여원, 옌안, 유토, 키노, 우석 (펜타곤)",2016,Gorilla
268,크나큰,5,남,946943.0,,YNB,SF9,"영빈, 인성, 재윤 (SF9), 다원, 로운, 주호, 태양, 휘영, 찬희",2016,팡파레 (Fanfare)
269,엔시티,18 (15),남,1866861.0,,SM,크나큰,"김유진, 박승준, 정인성, 오희준, 김지훈",2016,KNOCK
270,더블에스 삼공일,3,남,944939.0,,CIENT,NCT,"도영 (DOYOUNG), 재현 (JAEHYUN), 마크 (MARK), 태일 (TAEIL), 태용 (TAEYONG), 텐 (TEN), 윈윈 (WINWIN), 유타 (YUTA), 천러 (CHENLE), 해찬 (HAECHAN), 재민 (JAEMIN), 제노 (JENO), 지성 (JISUNG), 런쥔 (RENJUN), 쟈니 (JOHNNY), 정우 (JUNGWOO), 쿤 (KUN), 루카스 (LUCAS)",,
271,맙,2,남,1166886.0,,YG,더블에스301,"김형준, 허영생, 김규종",,
272,첸백시,3,남,1228017.0,,SM,MOBB (MINO & BOBBY),"MINO, BOBBY",2016,빨리 전화해 (Feat. KUSH)
273,소년24,28,남,981468.0,,CJE&M라이브웍스컴퍼니,EXO-CBX (첸백시),"첸 (CHEN), 백현 (BAEKHYUN), 시우민 (XIUMIN)",2016,Hey Mama!
274,비투비-블루,4,남,1182662.0,,큐브,소년24,"강산, 고지형, 성현, 용현, 김진섭, 김홍인, 도하, 박용권, 신재민, 아이젝, 진석, 영두, 이로운, 이우진, 이인표, 이창민, 이해준, 이화영, 정민환, 연태, 진성호, 채호철, 최성환, 최재현, 최찬이, 탁진규, 현욱, 인호",,
275,빅톤,7,남,1066850.0,,플랜에이,비투비-블루,"서은광, 이창섭, 임현식, 육성재",,
276,코코소리,2,여,927426.0,,소니뮤직,VICTON (빅톤),"정수빈 (VICTON), 최병찬 (VICTON), 도한세 (VICTON), 임세준 (VICTON), 허찬 (VICTON), 강승식 (VICTON), 한승우 (VICTON)",,
277,우주소녀,13 (12),여,943959.0,위에화,스타쉽,코코소리,"코코, 소리",2016,다크서클
278,에이오에이 크림,3,여,945586.0,,FNC,우주소녀,"설아 (우주소녀), 엑시, 보나, 성소, 은서, 다영, 다원 (우주소녀), 수빈 (우주소녀), 선의, 여름, 미기, 루다, 유연정 (우주소녀)",2016,MoMoMo (모모모)
279,마틸다,4,여,958257.0,,박스미디어,AOA CREAM,"유나 (AOA), 혜정 (AOA), 찬미 (AOA)",,
280,구구단,9,여,982876.0,,젤리피쉬,마틸다 (MATILDA),"단아, 새별, 세미, 해나 (마틸다 (MATILDA))",2016,Macarena
281,블랙핑크,4,여,995169.0,,YG,구구단 (gugudan),"나영, 미나, 세정 (구구단), 미미, 샐리, 소이, 하나 (구구단), 해빈 (구구단), 혜연",2016,Wonderland
282,아이오아이,11,여,960251.0,,YMC,BLACKPINK,"지수, 제니, 로제, 리사",,
283,언니쓰,7 (6),여,990909.0,,한국방송공사,아이오아이 (I.O.I),"정채연, 소미, 세정 (구구단), 최유정 (Weki Meki), 청하, 김소혜, 결경, 김도연 (Weki Meki), 미나, 나영, 유연정 (우주소녀)",2016,
284,씨아이브이에이,3,여,991420.0,,,언니쓰,,,
285,아이비아이,5,여,993794.0,,로엔,C.I.V.A,"김소희, 이수민, 윤채경 (에이프릴)",,
286,리얼걸프로젝트,10,여,1066385.0,,인터렉티브미디어믹스,아이비아이 (I.B.I),"이수현, 김소희, 윤채경 (에이프릴), 이해인, 한혜리",,
287,나인뮤지스 A,4,여,994205.0,,스타제국,Real Girls Project (리얼걸프로젝트),"이예은, 지슬, 테라모토 유키카, 소리, 이지원, 수지, 권하서, 허영주 (더 씨야), 민트, 천재인",2016,꿈을 Dream
288,모모랜드,9 (7),여,1221596.0,,MLD,나인뮤지스A,"경리 (나인뮤지스), 혜미 (나인뮤지스), 소진 (나인뮤지스), 금조 (나인뮤지스)",,
289,하이라이트,5,남,1624993.0,,어라운드어스,모모랜드 (MOMOLAND),"나윤, 혜빈, 주이, 낸시, 제인, 아인 (모모랜드), 연우, 태하 (모모랜드), 데이지",2016,짠쿵쾅
290,허니스트,4,남,1704395.0,,FNC,하이라이트 (Highlight),"윤두준, 용준형, 양요섭, 이기광, 손동운",,
291,에이스,5,남,1705318.0,,비트인터렉티브,허니스트 (HONEYST),"서동성, 김철민, 김환, 오승석",,
292,이엑스피에디션,4,남,1701924.0,,아임어비비,A.C.E (에이스),"준, 동훈, 와우, 김병관, 찬",2017,선인장 (CACTUS)
293,워너원,11,남,1865973.0,,YMC,EXP EDITION,"시메 (Sime), 코키 (Koki), 프랭키 (Frankie), 헌터 (Hunter)",2017,FEEL LIKE THIS
294,뉴이스트 W,4,남,1816966.0,,플레디스,Wanna One (워너원),"강다니엘, 박지훈, 이대휘, 김재환, 옹성우, 박우진, 라이관린, 윤지성, 황민현, 배진영, 하성운",2017,
295,마이틴,7,남,1815140.0,,뮤직웍스,뉴이스트 W,"JR (뉴이스트), Aron (뉴이스트), 백호 (뉴이스트), 렌 (뉴이스트)",,
296,온앤오프,7,남,1865635.0,,WM,마이틴,"송유빈 (마이틴), 김국헌 (마이틴), 신준섭, 은수, 이태빈, 천진, 한슬",2017,어마어마하게
297,골든차일드,10 (11),남,1907513.0,,울림,온앤오프 (ONF),"효진, 제이어스, 이션, 라운, 유, MK, 와이엇",2017,ON/OFF
298,아이즈,4,남,1705423.0,,뮤직케이,골든차일드,"이대열, Y, 장준, TAG, 승민, 재현, 지범, 동현, 주찬, 보민",2017,
299,티알씨엔지,10,남,1957236.0,,TS,아이즈(IZ),"지후 (아이즈), 우수, 현준, 준영",2017,다해
300,레인즈,7,남,1908321.0,,프로,TRCNG,"강민, 시우, 우엽, 지성, 지훈, 태선, 하영, 학민, 현우, 호현",2017,
301,제이비제이,6,남,1910321.0,,페이브,레인즈 (RAINZ),"김성리, 변현민, 서성혁, 이기원 (레인즈), 장대현, 주원탁 (JOO WON TAK), 홍은기 (레인즈)",,
302,바이칼,7,남,1956279.0,,바이칼,JBJ,"노태현, 켄타, 김상균, 김용국, 권현빈, 김동한",2017,Fantasy
303,인투잇,8,남,2005441.0,,MMO,바이칼 (BAIKAL),"도까, 케이빈, 호찬, 노아, 데이, 연우, 대웅",,
304,더보이즈,12,남,1816126.0,,크래커,IN2IT (인투잇),"성현, 아이젝, 연태, 이인표, 인호, 지안, 현욱",2017,
305,보너스베이비,6,여,1285468.0,,마루기획,더보이즈(THE BOYZ),"선우 (THE BOYZ), 주학년 (THE BOYZ), 현재 (THE BOYZ), 영훈 (THE BOYZ), 활 (THE BOYZ), 케빈 (THE BOYZ), 상연 (THE BOYZ), 주연 (THE BOYZ), 뉴 (THE BOYZ), 큐 (THE BOYZ), 제이콥 (THE BOYZ), 에릭 (THE BOYZ)",,
306,빈챈현스S,5 (4),여,1285252.0,,MBK,보너스베이비 (Bonusbaby),"문희, 하윤, 가온, 공유, 다윤, 채현",2017,우리끼리
307,루비,3 (4),여,1285529.0,,MBK,빈챈현스 (다이아),"예빈 (다이아), 정채연, 기희현, 유니스",2016,너는 달 지구
308,에이치유비,4,여,1238995.0,,뉴플래닛엔터태인먼트,L.U.B (다이아),"제니, 은진, 은채",2016,13월 32일
309,이달의 소녀 1/3,5,여,1625207.0,,블록베리크리에이티브,H.U.B,"루이 (RUI), 효선, 예인, 서령, 체희",,
310,립버블,4 (7),여,1626826.0,,제니스미디어콘텐츠,이달의 소녀 1/3,"희진 (이달의 소녀), 현진 (이달의 소녀), 하슬 (이달의 소녀), 비비 (이달의 소녀)",2017,"지금, 좋아해 (Love & Live)"
311,프리스틴,10,여,958953.0,,플레디스,립버블,"은별, 서린, 한비, 미래, 위니, 엘라, 리아",2017,팝콘 (POPCORN)
312,비사이드,5,여,758257.0,,인터렉티브미디어믹스,PRISTIN (프리스틴),"유하, 레나, 로아, 예하나, 시연, 성연, 나영, 은우, 결경, 카일라",,
313,힌트,7,여,1627831.0,,스타프로,B-Side,,,
314,엘리스,5,여,1704756.0,,후너스,힌트 (HINT),"나엘, 소금, 아라, 별아, 체리, 해솔, 혜진",,
315,옆집소녀,7,여,1759536.0,,한국방송공사,엘리스 (ELRIS),"소희, 가린, 유경, 혜성, 벨라",2017,우리 처음
316,지지배,4,여,1759736.0,,NWSTUDIOS,"옆소 (문별, 슬기, 유아, 디애나, 소희, 수정, 소미)","슬기 (SEULGI), 문별 (마마무), 유아 (오마이걸), 류수정 (러블리즈), D.ana(디애나), 소미, 김소희",,
317,애플비,5,여,1865569.0,,GH,지지배,서진,2017,다 너 때문이야
318,위키미키,8,여,1816806.0,,판타지오,애플비 (Apple.B),"샌디, 유림, 유지, 하은, 현민",2017,우쭈쭈
319,구구단 오구오구,2,여,1867147.0,,젤리피쉬,위키미키 (Weki Meki),"최유정 (Weki Meki), 김도연 (Weki Meki), 지수연 (Weki Meki), 엘리 (Weki Meki), 세이 (Weki Meki), Lua (Weki Meki), 리나 (Weki Meki), 루시 (Weki Meki)",,
320,에스아이에스,6,여,1868086.0,,더블엑스,구구단 오구오구,"미나, 혜연",2017,ICE CHU
321,굿데이,10,여,1907765.0,,C9,S.I.S,"지해, 달, 민지, 가을, 앤, 세빈",2017,느낌이 와
322,이달의 소녀 오드아이써클,3,여,1910699.0,,블록베리크리에이티브,GOOD DAY (굿데이),"희진 (GOOD DAY), 지니, 체리, 채솔, 하은, 비바, 나윤, 지원, 보민, 럭키",2017,Rolly
323,유앤비,9,남,2111640.0,,MBK,이달의 소녀 오드아이써클,"김립 (이달의 소녀), 진솔 (이달의 소녀), 최리 (이달의 소녀)",2017,
324,프로미스나인,9,여,2019210.0,,스톤뮤직,UNB,"준 (U-Kiss), 의진, 호정, 필독 (BIGSTAR), 마르코, 지한솔, 대원 (DAEWON), 기중, 찬",2018,감각
325,오마이걸 반하나,3,여,2112888.0,,WM,프로미스나인,"노지선, 송하영, 이새롬, 이채영, 이나경, 박지원, 이서연, 백지헌, 장규리",,
326,(여자)아이들,6,여,2137482.0,,큐브,오마이걸 반하나,"효정 (오마이걸), 비니 (오마이걸), 아린 (오마이걸)",2018,
327,유니티,9,여,2111639.0,,MBK,(여자)아이들,"소연, 미연, 수진, 우기, 슈화, 민니",2018,
328,프리스틴 V,5,여,2139823.0,,플레디스,UNI.T,"의진, 예빈 (다이아), 앤씨아, 윤조, 이현주, 양지원 (스피카), 우희 (달샤벳), ZN (LABOUM), 수지",2018,
329,스트레이 키즈,9,남,2006344.0,,JYP,PRISTIN V,"나영, 결경, 로아, 은우, 레나",2018,
330,구구단 세미나,3,여,2203723.0,,젤리피쉬,Stray Kids (스트레이 키즈),"방찬 (3RACHA), 우진, 리노, 창빈 (3RACHA), 현진, 한 (3RACHA), 필릭스, 승민, 아이엔",2017,
331,,,,,,,구구단 세미나,"세정 (구구단), 미나, 나영",,
