,artist,member_num,gender,idol_id,agency_old,agency_new,melon_artist,artist_m,debut_y,debut_t
124,제국의 아이들,9,남,449941.0,,스타제국,CNBLUE (씨엔블루),"정용화 (CNBLUE), 이종현 (CNBLUE), 강민혁 (CNBLUE), 이정신 (CNBLUE)",2010,외톨이야
125,제이와이제이,3,남,499453.0,,씨제스,제국의아이들 (ZE:A),"황광희, 문준영 (ZE:After), 임시완, Kevin, 김태헌, 정희철, 하민우, 박형식, 김동준",2010,Mazeltov
126,대국남아,5,남,459644.0,,씽(오픈월드),JYJ,"김재중, 박유천, XIA (준수)",2010,Empty
127,인피니트,6 (7),남,476181.0,,울림,DGNA (대국남아),"미카, 가람, 현민, 인준 (대국남아), Jay",2010,동경소년
128,틴탑,5 (6),남,483581.0,,티오피미디어,인피니트,"김성규, 엘 (인피니트), 장동우 (인피니트), 남우현, 이성열 (인피니트), 이성종 (인피니트)",2010,다시 돌아와
129,디엠티엔,6,남,494501.0,,아이에스엔터미디어그룹,틴탑,"C.A.P, 니엘, 천지, 창조, Ricky",2010,박수 (Clap)
130,터치,4 (7),남,106246.0,,YYJ,DMTN,"다니엘, 이나티, 지수, 동림, 사이먼",2010,Round 1
131,지디 앤 탑,2,남,512321.0,,YG,터치,"선웅, 성용, 재욱, 철민, 강현",2010,
132,씨스타,4,여,473181.0,,스타쉽,GD&TOP,"G-DRAGON, T.O.P",2010,뻑이가요
133,오렌지캬라멜,3,여,477632.0,,플레디스,씨스타,"효린, 소유 (SOYOU), 다솜 (씨스타), 보라 (씨스타)",2010,Push Push (푸시 푸시)
134,미쓰에이,2 (4),여,481481.0,,JYP,오렌지 캬라멜,"리지 (오렌지 캬라멜), 나나 (애프터스쿨), 레이나 (Raina)",2010,마법소녀 (魔法少女)
135,걸스데이,4,여,482762.0,,드림티,미쓰에이,"수지 (SUZY), 민, 페이, 지아",2010,Bad Girl Good Girl
136,나인뮤지스,5 (9),여,465680.0,,스타제국,걸스데이,"소진 (걸스데이), 민아 (걸스데이), 유라 (걸스데이), 혜리 (걸스데이)",2010,갸우뚱
137,지피베이직,3 (6),여,492173.0,,티모,나인뮤지스,"손성아 (나인뮤지스), 경리 (나인뮤지스), 혜미 (나인뮤지스), 소진 (나인뮤지스), 금조 (나인뮤지스)",2010,No PlayBoy
138,브이엔티,3,여,505120.0,,미디어라인,지피베이직,"제이니, 에미트, 트리니티, 자이온, 무이",2010,Game
139,디헤븐,1 (3),여,509820.0,,Jang,VNT,"쏘이, 유미, iLLA",,
140,트러블 메이커,2,혼,591031.0,,큐브,D. Heaven,,2010,
141,마이네임,5,남,576851.0,,에이치투미디어,트러블메이커,"현아, 장현승",2011,Trouble Maker
142,보이프렌드,6,남,541500.0,,스타쉽,마이네임,"세용, 인수, 준Q, 채진, 건우",2011,메시지 (Message)
143,슈퍼 주니어-디앤이,2,남,838961.0,,SM,보이프렌드,"현성 (보이프렌드), 영민 (보이프렌드), 광민 (보이프렌드), 민우 (보이프렌드), 동현 (보이프렌드), 정민 (보이프렌드)",2011,Boyfriend (보이프렌드)
144,비원에이포,5,남,535440.0,,WM,SUPER JUNIOR-D&E (동해&은혁),"동해 (DONGHAE), 은혁 (EUNHYUK)",2011,"떴다 오빠 (Oppa, Oppa)"
145,블락비,7,남,532201.0,,세븐시즌스,B1A4,"진영, 바로, 신우, 공찬, 산들 (B1A4)",2011,O.K
