artist,artist_eng,member_num,leader_name,gender,agency,idol_id
더보이즈,THE BOYZ,12,상연,남,크래커 엔터테인먼트,1816126
보너스베이비,BONUSbaby,6,문희,여,마루기획,1285468
빈챈현스S,BCHSS,5 (4),희현,여,MBK 엔터테인먼트,1285252
루비,L.U.B,3 (4),,여,MBK 엔터테인먼트,1285529
에이치유비,H.U.B,4,그레이시,여,뉴플래닛 엔터태인먼트,1238995
이달의 소녀 1/3,LOOΠΔ 1/3,5,하슬,여,블록베리 크리에이티브,1625207
립버블,LipBubble,4 (7),류아,여,제니스 미디어 콘텐츠,1626826
프리스틴,PRISTIN,10,나영,여,플레디스 엔터테인먼트,958953
비사이드,B-side,5,,여,인터렉티브미디어믹스,758257
힌트,HINT,7,혜진,여,스타프로 엔터테인먼트,1627831
엘리스,ELRIS,5,벨라,여,후너스 엔터테인먼트,1704756
옆집소녀,Girls Next Door,7,문별,여,한국방송공사,1759536
지지배,ZZBAE,4,해리,여,NW STUDIOS,1759736
애플비,Apple.B,5,유지,여,GH엔터테인먼트,1865569
위키미키,WeKi MeKi,8,지수연,여,판타지오,1816806
구구단 오구오구,gugudan oguogu,2,,여,젤리피쉬 엔터테인먼트,1867147
에스아이에스,S.I.S,6,지해,여,더블엑스 엔터테인먼트,1868086
굿데이,Good Day,10,희진,여,C9 엔터테인먼트,1907765
이달의 소녀 오드아이써클,LOOΠΔ Odd Eye Circle,3,김립,여,블록베리 크리에이티브,1910699
유앤비,UNB,9,필독,남,MBK엔터테인먼트,2111640
프로미스나인,fromis_9,9,이새롬,여,스톤뮤직 엔터테인먼트,2019210
오마이걸 반하나,OH MY GIRL BANHANA,3,효정,여,WM 엔터테인먼트,2112888
(여자)아이들,(G)I-DLE,6,소연,여,큐브 엔터테인먼트,2137482
유니티,UNI.T,9,우희,여,MBK엔터테인먼트,2111639
프리스틴 V,PRISTIN V,5,나영,여,플레디스 엔터테인먼트,2139823
스트레이 키즈,Stray kibs,9,방찬,남,JYP 엔터테인먼트,2006344
구구단 세미나,gugudan semina,3,,여,젤리피쉬 엔터테인먼트,2203723
