source,target,count
김재양,에프티 아일랜드,7
어벤전승,라붐,7
창조,틴탑,7
박진영,갓세븐,7
박근태,쥬얼리,7
Darren Smith,오마이걸,7
에스나 (eSNa),마마무,7
이상호,에이오에이,7
Chloe,갓세븐,7
송백경,원타임,7
이던,펜타곤,6
서용배 (TENTEN),아스트로,6
박경 (블락비),블락비,6
최귀섭,젝스키스,6
차쿤 (일렉트로보이즈),에이오에이,6
kenzie,에프엑스,6
신우,비원에이포,6
Razer (Strike),러블리즈,6
이단옆차기,티아라,6
Erik Lidbom,빅스,6
Erik Lidbom,에스에프나인,6
제니,다이아,6
KUSH,빅뱅,6
성연,프리스틴,6
피터팬,다이아,6
마부스 (Maboos),틴탑,6
마부스 (Maboos),빅스타,6
박기태,세븐틴,6
BEOMxNANG,이엑스아이디,6
이기 (오레오),오렌지캬라멜,6
이기광,비스트,6
이단옆차기,엠블랙,6
Team One Sound,슈퍼주니어,6
신사동 호랭이,에이핑크,6
이단옆차기,god,6
정창욱,나인뮤지스,6
이민수,브라운 아이드 걸스,6
황현 (MonoTree),온앤오프,6
지국현,신화,6
DAY6 (데이식스),데이식스,6
남기상,걸스데이,6
신사동 호랭이,비스트,6
마르코,비아이지,6
Team One Sound,슈퍼 주니어-디앤이,6
코스믹 사운드,마마무,6
윤일상,젝스키스,6
김세진,제이워크,6
안정훈,터보,6
CHOICE37,아이콘,6
원상우,베이비 복스 리브,6
KZ,히스토리,6
디즈,샤이니,6
한승훈,에스에프나인,6
김준환,룰라,6
박수석,티알씨엔지,6
G-High (MonoTree),스텔라,6
남태현,위너,6
원펀치,엔소닉,6
LEEZ,드림캐쳐,6
남기상,쥬얼리,6
최준영,쿨,6
NODAY,비스트,6
Andreas Oberg,샤이니,6
황세준,빅스,6
임팩트,임팩트,6
임광욱,엑소,6
이상호,에프티 아일랜드,6
코끼리 왕국,틴탑,6
원택 (1Take),엠블랙,6
영광의 얼굴들 (Full8loom),터보,6
Ferdy (MosPick),펜타곤,6
ZeroZine (MosPick),비투비,6
전다운,헤일로,6
Ye-Yo!,몬스타엑스,6
M (이민우),신화,6
코스믹 걸 (Cosmic Girl),마마무,6
동해 (DONGHAE),슈퍼주니어,6
유영진,슈퍼주니어,6
Groovie. K,에이치오티,5
코끼리 왕국,빅스타,5
Davey Nate,업텐션,5
조종수,투피엠,5
박우상,아스트로,5
혜림 (원더걸스),원더걸스,5
김종국,터보,5
용감한 형제,헬로비너스,5
이특 (LEETEUK),슈퍼주니어,5
박성수,신화,5
이주형 (MonoTree),카라,5
황성제,신화,5
kenzie,슈퍼주니어,5
권선익,비트윈,5
이단옆차기,카라,5
영재 (GOT7),갓세븐,5
더 준,핑클,5
찬성,투피엠,5
화사 (마마무),마마무,5
유겸 (GOT7),갓세븐,5
박제성,잉크,5
LDN Noise,레드벨벳,5
용감한 형제,빅플로,5
조성호,펜타곤,5
진리 (Full8loom),아스트로,5
강동하,씨엘씨,5
이종훈,하이포,5
진영 (GOT7),갓세븐,5
강욱진,젝스키스,5
주태영,베리굿,5
택연,투피엠,5
ZeroZine (MosPick),펜타곤,5
이창현,보이프렌드,5
